skill,count,n,share,ci_low,ci_high,styria_share,families_where_top(>=15%),profile_status,priority
SQL,291,719,0.405,0.369,0.441,0.466,6,developing,NOW
Python,253,719,0.352,0.318,0.387,0.5,4,developing,NOW
Data Governance/Quality,220,719,0.306,0.273,0.341,0.362,7,developing,NOW
ETL/ELT,159,719,0.221,0.192,0.253,0.345,4,developing,NOW
Azure,139,719,0.193,0.166,0.224,0.345,2,structural,LATER
Power BI,132,719,0.184,0.157,0.214,0.138,4,developing,NEXT
Excel,128,719,0.178,0.152,0.208,0.121,4,have,already have (demonstrate)
Data Modeling,118,719,0.164,0.139,0.193,0.138,2,developing,NEXT
Generative AI / LLM,117,719,0.163,0.138,0.191,0.121,2,developing,NEXT
CI/CD,109,719,0.152,0.127,0.18,0.224,2,structural,LATER
Databricks,83,719,0.115,0.094,0.141,0.19,1,structural,LATER
REST APIs,83,719,0.115,0.094,0.141,0.138,1,developing,NEXT
Mathematics,77,719,0.107,0.087,0.132,0.103,3,structural,LATER
Data Warehouse (generic),72,719,0.1,0.08,0.124,0.172,2,structural,LATER
Git,71,719,0.099,0.079,0.123,0.19,2,developing,LATER
AWS,62,719,0.086,0.068,0.109,0.121,1,structural,LATER
R,51,719,0.071,0.054,0.092,0.069,1,developing,do not prioritise (low evidence)
Streaming,51,719,0.071,0.054,0.092,0.052,0,structural,do not prioritise (low evidence)
Data Lake/Lakehouse,51,719,0.071,0.054,0.092,0.069,1,structural,do not prioritise (low evidence)
Java,51,719,0.071,0.054,0.092,0.086,0,structural,do not prioritise (low evidence)
Spark,47,719,0.065,0.05,0.086,0.052,1,structural,do not prioritise (low evidence)
MLOps,46,719,0.064,0.048,0.084,0.069,1,structural,do not prioritise (low evidence)
Docker,44,719,0.061,0.046,0.081,0.034,1,structural,do not prioritise (low evidence)
Oracle,41,719,0.057,0.042,0.076,0.034,1,structural,do not prioritise (low evidence)
Microsoft Fabric,41,719,0.057,0.042,0.076,0.103,1,structural,do not prioritise (low evidence)
Snowflake,41,719,0.057,0.042,0.076,0.034,0,developing,do not prioritise (low evidence)
GCP,41,719,0.057,0.042,0.076,0.172,0,structural,do not prioritise (low evidence)
Forecasting,41,719,0.057,0.042,0.076,0.034,1,have,already have (demonstrate)
