beruf,group_id,beruf_id,Burgenland,Kärnten,Niederösterreich,Oberösterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien,Österreich
BankangestellteR im Zahlungsverkehr,282,1306,,,,,41.0,,,,32.0,137.0
Bankkaufmann/-frau,282,245,,41.0,114.0,297.0,126.0,136.0,66.0,71.0,317.0,1261.0
BaumarktverkäuferIn,308,853,36.0,80.0,374.0,218.0,107.0,227.0,133.0,49.0,82.0,1355.0
Betriebs- und UnternehmensleiterIn,285,269,175.0,278.0,655.0,939.0,600.0,648.0,642.0,275.0,1694.0,6318.0
BetriebstechnikerIn,290,874,27.0,130.0,189.0,502.0,173.0,276.0,155.0,114.0,331.0,2088.0
BetriebswirtIn,285,872,36.0,205.0,549.0,666.0,339.0,459.0,468.0,179.0,761.0,3912.0
BiomedizinischeR AnalytikerIn,334,226,25.0,47.0,137.0,182.0,73.0,100.0,92.0,21.0,340.0,1151.0
Business-Development-ManagerIn,285,1278,,54.0,163.0,278.0,149.0,210.0,126.0,73.0,821.0,2086.0
Compliance-ManagerIn,285,1250,,25.0,71.0,148.0,65.0,74.0,91.0,,462.0,1053.0
ControllerIn,291,400,63.0,243.0,754.0,1268.0,497.0,858.0,394.0,258.0,1767.0,6600.0
Customer-Relationship-ManagerIn,286,637,39.0,154.0,415.0,477.0,239.0,321.0,213.0,127.0,1094.0,3313.0
Data Scientist (m/w),295,1268,,59.0,109.0,299.0,151.0,300.0,89.0,66.0,935.0,2207.0
Data-Warehouse-ManagerIn,295,602,,30.0,43.0,72.0,32.0,51.0,,24.0,200.0,505.0
DatenbankadministratorIn,295,589,,34.0,59.0,124.0,51.0,75.0,105.0,33.0,435.0,1011.0
DatenbankentwicklerIn,295,590,,25.0,102.0,205.0,58.0,137.0,,40.0,521.0,1198.0
Datensicherheitsexperte/-expertin,301,593,32.0,139.0,295.0,682.0,220.0,453.0,211.0,102.0,1663.0,4066.0
E-Commerce-ManagerIn,308,1282,,27.0,69.0,168.0,60.0,62.0,62.0,,181.0,722.0
Finanz- und AnlageberaterIn,282,1189,40.0,139.0,272.0,471.0,194.0,174.0,174.0,124.0,532.0,2239.0
FinanzmanagerIn,285,1239,,83.0,180.0,317.0,210.0,252.0,228.0,82.0,1017.0,2608.0
Game Producer (m/w),303,1307,,32.0,,62.0,28.0,57.0,,,85.0,332.0
Human-Resources-ManagerIn,285,1191,99.0,287.0,873.0,1507.0,606.0,875.0,545.0,359.0,2426.0,8326.0
IT-ProjektmanagerIn,301,635,39.0,178.0,471.0,1017.0,453.0,618.0,337.0,257.0,2077.0,5823.0
IT-QualitätsmanagerIn,301,619,21.0,84.0,158.0,407.0,149.0,349.0,122.0,69.0,906.0,2438.0
InformatikerIn,303,425,,77.0,154.0,265.0,113.0,207.0,102.0,60.0,419.0,1518.0
KalkulantIn,291,1011,26.0,61.0,208.0,359.0,80.0,185.0,57.0,65.0,284.0,1437.0
Kultur- und EventmanagerIn,285,1192,26.0,28.0,99.0,124.0,179.0,104.0,117.0,55.0,331.0,1166.0
MarketingassistentIn,286,862,61.0,213.0,416.0,643.0,385.0,431.0,360.0,128.0,957.0,3934.0
MarketingmanagerIn,286,1240,64.0,213.0,464.0,747.0,614.0,432.0,381.0,169.0,1885.0,5470.0
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,282,1302,,,48.0,27.0,61.0,35.0,,,184.0,446.0
MitarbeiterIn in der Kreditabteilung,282,1303,21.0,46.0,66.0,87.0,33.0,38.0,41.0,45.0,157.0,617.0
Operations ManagerIn,285,1296,22.0,34.0,154.0,201.0,133.0,91.0,121.0,73.0,416.0,1368.0
PR-BeraterIn,286,863,,51.0,122.0,181.0,170.0,123.0,126.0,62.0,642.0,1645.0
PersonalberaterIn,291,1113,,82.0,163.0,314.0,119.0,206.0,119.0,64.0,461.0,1684.0
ProduktmanagerIn,286,1195,32.0,112.0,328.0,638.0,292.0,426.0,398.0,111.0,1098.0,3714.0
ProjektassistentIn,285,1242,,28.0,82.0,126.0,26.0,110.0,47.0,,243.0,824.0
ProjektmanagerIn,285,1194,76.0,337.0,899.0,1459.0,605.0,1094.0,471.0,272.0,2277.0,8220.0
QualitätssicherungstechnikerIn,290,710,103.0,429.0,1155.0,1951.0,463.0,1302.0,682.0,380.0,1304.0,8482.0
Requirements Engineer (m/w),301,1289,,27.0,66.0,59.0,31.0,72.0,42.0,,233.0,564.0
RisikomanagerIn im Finanz- und Bankwesen,282,1249,,40.0,101.0,227.0,101.0,117.0,79.0,60.0,650.0,1506.0
SalesmanagerIn,285,873,145.0,546.0,1449.0,1837.0,1016.0,1165.0,889.0,398.0,2902.0,11334.0
Social-Media-ManagerIn,286,1260,22.0,67.0,99.0,221.0,199.0,121.0,104.0,45.0,536.0,1535.0
SoftwareentwicklerIn,303,622,126.0,835.0,1226.0,3795.0,1326.0,3077.0,999.0,781.0,7413.0,20948.0
SteuerassistentIn,291,1244,,,69.0,104.0,40.0,52.0,52.0,,153.0,534.0
SystemanalytikerIn,301,388,,34.0,46.0,98.0,39.0,65.0,35.0,41.0,308.0,731.0
TechnischeR SachbearbeiterIn,290,1198,28.0,120.0,328.0,489.0,217.0,243.0,129.0,130.0,333.0,2215.0
