beruf,bl,bundesland,trend_3y,trend_window,share_label,count_year,count_latest,group_id,beruf_id
BankangestellteR im Zahlungsverkehr,AT,Österreich,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,137.0,282,1306
BankangestellteR im Zahlungsverkehr,AT11,Burgenland,tendenziell,2026-2028,0% - sehr geringer Anteil,,,282,1306
BankangestellteR im Zahlungsverkehr,AT12,Niederösterreich,tendenziell,2026-2028,0% - sehr geringer Anteil,,,282,1306
BankangestellteR im Zahlungsverkehr,AT13,Wien,gleichbleibend,2026-2028,0% - sehr geringer Anteil,2025.0,32.0,282,1306
BankangestellteR im Zahlungsverkehr,AT21,Kärnten,tendenziell,2026-2028,0% - sehr geringer Anteil,,,282,1306
BankangestellteR im Zahlungsverkehr,AT22,Steiermark,gleichbleibend,2026-2028,0% - sehr geringer Anteil,,,282,1306
BankangestellteR im Zahlungsverkehr,AT31,Oberösterreich,tendenziell,2026-2028,0% - sehr geringer Anteil,,,282,1306
BankangestellteR im Zahlungsverkehr,AT32,Salzburg,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,41.0,282,1306
BankangestellteR im Zahlungsverkehr,AT33,Tirol,gleichbleibend,2026-2028,0% - sehr geringer Anteil,,,282,1306
BankangestellteR im Zahlungsverkehr,AT34,Vorarlberg,gleichbleibend,2026-2028,0% - sehr geringer Anteil,,,282,1306
Bankkaufmann/-frau,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,1261.0,282,245
Bankkaufmann/-frau,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,,,282,245
Bankkaufmann/-frau,AT12,Niederösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,114.0,282,245
Bankkaufmann/-frau,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,317.0,282,245
Bankkaufmann/-frau,AT21,Kärnten,tendenziell,2026-2028,30% - geringer Anteil,2025.0,41.0,282,245
Bankkaufmann/-frau,AT22,Steiermark,tendenziell,2026-2028,30% - geringer Anteil,2025.0,136.0,282,245
Bankkaufmann/-frau,AT31,Oberösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,297.0,282,245
Bankkaufmann/-frau,AT32,Salzburg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,126.0,282,245
Bankkaufmann/-frau,AT33,Tirol,tendenziell,2026-2028,30% - geringer Anteil,2025.0,66.0,282,245
Bankkaufmann/-frau,AT34,Vorarlberg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,71.0,282,245
Finanz- und AnlageberaterIn,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,2239.0,282,1189
Finanz- und AnlageberaterIn,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,2025.0,40.0,282,1189
Finanz- und AnlageberaterIn,AT12,Niederösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,272.0,282,1189
Finanz- und AnlageberaterIn,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,532.0,282,1189
Finanz- und AnlageberaterIn,AT21,Kärnten,tendenziell,2026-2028,30% - geringer Anteil,2025.0,139.0,282,1189
Finanz- und AnlageberaterIn,AT22,Steiermark,tendenziell,2026-2028,30% - geringer Anteil,2025.0,174.0,282,1189
Finanz- und AnlageberaterIn,AT31,Oberösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,471.0,282,1189
Finanz- und AnlageberaterIn,AT32,Salzburg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,194.0,282,1189
Finanz- und AnlageberaterIn,AT33,Tirol,tendenziell,2026-2028,30% - geringer Anteil,2025.0,174.0,282,1189
Finanz- und AnlageberaterIn,AT34,Vorarlberg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,124.0,282,1189
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT,Österreich,gleichbleibend,2026-2028,0% - sehr geringer Anteil,2025.0,446.0,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT11,Burgenland,gleichbleibend,2026-2028,30% - geringer Anteil,,,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT12,Niederösterreich,gleichbleibend,2026-2028,0% - sehr geringer Anteil,2025.0,48.0,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT13,Wien,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,184.0,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT21,Kärnten,gleichbleibend,2026-2028,0% - sehr geringer Anteil,,,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT22,Steiermark,gleichbleibend,2026-2028,0% - sehr geringer Anteil,2025.0,35.0,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT31,Oberösterreich,gleichbleibend,2026-2028,0% - sehr geringer Anteil,2025.0,27.0,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT32,Salzburg,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,61.0,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT33,Tirol,gleichbleibend,2026-2028,0% - sehr geringer Anteil,,,282,1302
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,AT34,Vorarlberg,gleichbleibend,2026-2028,0% - sehr geringer Anteil,,,282,1302
MitarbeiterIn in der Kreditabteilung,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,617.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,2025.0,21.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT12,Niederösterreich,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,66.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,157.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT21,Kärnten,tendenziell,2026-2028,30% - geringer Anteil,2025.0,46.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT22,Steiermark,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,38.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT31,Oberösterreich,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,87.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT32,Salzburg,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,33.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT33,Tirol,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,41.0,282,1303
MitarbeiterIn in der Kreditabteilung,AT34,Vorarlberg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,45.0,282,1303
RisikomanagerIn im Finanz- und Bankwesen,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,1506.0,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT11,Burgenland,tendenziell,2026-2028,0% - sehr geringer Anteil,,,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT12,Niederösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,101.0,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,650.0,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT21,Kärnten,tendenziell,2026-2028,30% - geringer Anteil,2025.0,40.0,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT22,Steiermark,tendenziell,2026-2028,30% - geringer Anteil,2025.0,117.0,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT31,Oberösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,227.0,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT32,Salzburg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,101.0,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT33,Tirol,tendenziell,2026-2028,30% - geringer Anteil,2025.0,79.0,282,1249
RisikomanagerIn im Finanz- und Bankwesen,AT34,Vorarlberg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,60.0,282,1249
Treasurer (m/w),AT,Österreich,positiv,2026-2028,0% - sehr geringer Anteil,2025.0,258.0,282,1304
Treasurer (m/w),AT11,Burgenland,gleichbleibend,2026-2028,0% - sehr geringer Anteil,,,282,1304
Treasurer (m/w),AT12,Niederösterreich,positiv,2026-2028,0% - sehr geringer Anteil,2025.0,20.0,282,1304
Treasurer (m/w),AT13,Wien,positiv,2026-2028,30% - geringer Anteil,2025.0,104.0,282,1304
Treasurer (m/w),AT21,Kärnten,positiv,2026-2028,0% - sehr geringer Anteil,,,282,1304
Treasurer (m/w),AT22,Steiermark,positiv,2026-2028,0% - sehr geringer Anteil,,,282,1304
Treasurer (m/w),AT31,Oberösterreich,positiv,2026-2028,0% - sehr geringer Anteil,2025.0,35.0,282,1304
Treasurer (m/w),AT32,Salzburg,positiv,2026-2028,0% - sehr geringer Anteil,2025.0,28.0,282,1304
Treasurer (m/w),AT33,Tirol,positiv,2026-2028,0% - sehr geringer Anteil,2025.0,20.0,282,1304
Treasurer (m/w),AT34,Vorarlberg,positiv,2026-2028,0% - sehr geringer Anteil,,,282,1304
VersicherungsberaterIn,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,1409.0,282,1190
VersicherungsberaterIn,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,2025.0,30.0,282,1190
VersicherungsberaterIn,AT12,Niederösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,272.0,282,1190
VersicherungsberaterIn,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,180.0,282,1190
VersicherungsberaterIn,AT21,Kärnten,tendenziell,2026-2028,30% - geringer Anteil,2025.0,86.0,282,1190
VersicherungsberaterIn,AT22,Steiermark,tendenziell,2026-2028,30% - geringer Anteil,2025.0,223.0,282,1190
VersicherungsberaterIn,AT31,Oberösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,257.0,282,1190
VersicherungsberaterIn,AT32,Salzburg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,110.0,282,1190
VersicherungsberaterIn,AT33,Tirol,tendenziell,2026-2028,30% - geringer Anteil,2025.0,111.0,282,1190
VersicherungsberaterIn,AT34,Vorarlberg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,58.0,282,1190
Versicherungskaufmann/-frau,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,1837.0,282,545
Versicherungskaufmann/-frau,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,2025.0,33.0,282,545
Versicherungskaufmann/-frau,AT12,Niederösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,179.0,282,545
Versicherungskaufmann/-frau,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,545.0,282,545
Versicherungskaufmann/-frau,AT21,Kärnten,tendenziell,2026-2028,30% - geringer Anteil,2025.0,81.0,282,545
Versicherungskaufmann/-frau,AT22,Steiermark,tendenziell,2026-2028,30% - geringer Anteil,2025.0,214.0,282,545
