beruf,competency,avg_share_2022_2025_pct,kind,growth_pp
BankangestellteR im Zahlungsverkehr,EDV-Anwendungskenntnisse,13.4,top,
BankangestellteR im Zahlungsverkehr,Rechnungswesen-Kenntnisse,8.5,top,
BankangestellteR im Zahlungsverkehr,E-Business-Kenntnisse,6.8,top,
BankangestellteR im Zahlungsverkehr,Branchenkenntnisse,6.1,top,
BankangestellteR im Zahlungsverkehr,Führerscheine,5.4,top,
BankangestellteR im Zahlungsverkehr,Betriebswirtschaftskenntnisse,2.7,top,
BankangestellteR im Zahlungsverkehr,Verantwortungsgefühl,2.6,top,
BankangestellteR im Zahlungsverkehr,Juristisches Fachwissen,1.5,top,
BankangestellteR im Zahlungsverkehr,Technisches Verständnis,1.3,top,
BankangestellteR im Zahlungsverkehr,Qualitätsmanagement-Kenntnisse,,growing,2.5
BankangestellteR im Zahlungsverkehr,Kommunikationsstärke,,growing,1.9
BankangestellteR im Zahlungsverkehr,Juristisches Fachwissen,,growing,1.9
BankangestellteR im Zahlungsverkehr,Organisationstalent,,growing,1.6
BankangestellteR im Zahlungsverkehr,Gutes Auftreten,,growing,1.4
BankangestellteR im Zahlungsverkehr,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,1.1
BankangestellteR im Zahlungsverkehr,Bank- und Finanzwesen-Kenntnisse,,growing,1.1
BankangestellteR im Zahlungsverkehr,Einsatzbereitschaft,,growing,1.0
BankangestellteR im Zahlungsverkehr,EDV-Anwendungskenntnisse,,growing,1.0
Bankkaufmann/-frau,Bank- und Finanzwesen-Kenntnisse,14.2,top,
Bankkaufmann/-frau,Branchenkenntnisse,9.9,top,
Bankkaufmann/-frau,Rechnungswesen-Kenntnisse,7.6,top,
Bankkaufmann/-frau,Vertriebskenntnisse,7.6,top,
Bankkaufmann/-frau,Versicherungskenntnisse,7.1,top,
Bankkaufmann/-frau,Management-Kenntnisse,5.9,top,
Bankkaufmann/-frau,Verkäuferische Kenntnisse,5.5,top,
Bankkaufmann/-frau,EDV-Anwendungskenntnisse,4.6,top,
Bankkaufmann/-frau,Büroarbeitskenntnisse,4.0,top,
Bankkaufmann/-frau,Gutes Auftreten,,growing,1.8
Bankkaufmann/-frau,Versicherungskenntnisse,,growing,1.3
Bankkaufmann/-frau,Einsatzbereitschaft,,growing,0.9
Bankkaufmann/-frau,Rechnungswesen-Kenntnisse,,growing,0.8
Bankkaufmann/-frau,Berufserfahrung,,growing,0.5
Bankkaufmann/-frau,Zahlenverständnis,,growing,0.5
Bankkaufmann/-frau,Hohes Einfühlungsvermögen,,growing,0.3
Bankkaufmann/-frau,Organisationstalent,,growing,0.3
Bankkaufmann/-frau,Hilfsbereitschaft,,growing,0.1
Finanz- und AnlageberaterIn,Management-Kenntnisse,10.5,top,
Finanz- und AnlageberaterIn,Rechnungswesen-Kenntnisse,9.8,top,
Finanz- und AnlageberaterIn,KundInnenbetreuungskenntnisse,9.5,top,
Finanz- und AnlageberaterIn,EDV-Anwendungskenntnisse,6.9,top,
Finanz- und AnlageberaterIn,Branchenkenntnisse,6.5,top,
Finanz- und AnlageberaterIn,Juristisches Fachwissen,6.4,top,
Finanz- und AnlageberaterIn,Projektmanagement-Kenntnisse,4.9,top,
Finanz- und AnlageberaterIn,Betriebswirtschaftskenntnisse,4.5,top,
Finanz- und AnlageberaterIn,Versicherungskenntnisse,4.4,top,
Finanz- und AnlageberaterIn,EDV-Anwendungskenntnisse,,growing,3.9
Finanz- und AnlageberaterIn,Management-Kenntnisse,,growing,2.7
Finanz- und AnlageberaterIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,2.2
Finanz- und AnlageberaterIn,Serviceorientierung,,growing,1.7
Finanz- und AnlageberaterIn,Betriebswirtschaftskenntnisse,,growing,1.7
Finanz- und AnlageberaterIn,Rechnungswesen-Kenntnisse,,growing,1.6
Finanz- und AnlageberaterIn,Projektmanagement-Kenntnisse,,growing,1.4
Finanz- und AnlageberaterIn,Kommunikationsstärke,,growing,1.1
Finanz- und AnlageberaterIn,Lernbereitschaft,,growing,1.0
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Bank- und Finanzwesen-Kenntnisse,12.2,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Branchenkenntnisse,11.5,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Rechnungswesen-Kenntnisse,9.5,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,EDV-Anwendungskenntnisse,9.2,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Qualitätsmanagement-Kenntnisse,8.7,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Projektmanagement-Kenntnisse,8.2,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Betriebswirtschaftskenntnisse,6.8,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Teamfähigkeit,4.9,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Kommunikationsstärke,3.4,top,
MitarbeiterIn im Handels- und Kapitalmarktgeschäft,Teamfähigkeit,,growing,7.5
