set,source,field,n,missing,missing_share
all,eures,title,4569,0,0.0
all,eures,company,4569,2797,0.612
all,eures,location_text,4569,4569,1.0
all,eures,state,4569,32,0.007
all,eures,city,4569,2178,0.477
all,eures,posted_date,4569,0,0.0
all,eures,description_text,4569,0,0.0
all,eures,employment_type_raw,4569,1,0.0
all,eures,salary_min_annual_eur,4569,467,0.102
all,eures,german_requirement,4569,2170,0.475
all,eures,seniority,4569,2856,0.625
all,eures,remote_type,4569,3017,0.66
all,eures,industry_raw,4569,4569,1.0
all,jobsat,title,105,0,0.0
all,jobsat,company,105,0,0.0
all,jobsat,location_text,105,0,0.0
all,jobsat,state,105,4,0.038
all,jobsat,city,105,4,0.038
all,jobsat,posted_date,105,0,0.0
all,jobsat,description_text,105,0,0.0
all,jobsat,employment_type_raw,105,0,0.0
all,jobsat,salary_min_annual_eur,105,7,0.067
all,jobsat,german_requirement,105,48,0.457
all,jobsat,seniority,105,56,0.533
all,jobsat,remote_type,105,36,0.343
all,jobsat,industry_raw,105,105,1.0
all,karriere,title,2114,0,0.0
all,karriere,company,2114,0,0.0
all,karriere,location_text,2114,0,0.0
all,karriere,state,2114,11,0.005
all,karriere,city,2114,175,0.083
all,karriere,posted_date,2114,0,0.0
all,karriere,description_text,2114,0,0.0
all,karriere,employment_type_raw,2114,0,0.0
all,karriere,salary_min_annual_eur,2114,277,0.131
all,karriere,german_requirement,2114,880,0.416
all,karriere,seniority,2114,1248,0.59
all,karriere,remote_type,2114,454,0.215
all,karriere,industry_raw,2114,2114,1.0
all,linkedin,title,4133,0,0.0
all,linkedin,company,4133,0,0.0
all,linkedin,location_text,4133,0,0.0
all,linkedin,state,4133,115,0.028
all,linkedin,city,4133,383,0.093
all,linkedin,posted_date,4133,0,0.0
all,linkedin,description_text,4133,0,0.0
all,linkedin,employment_type_raw,4133,0,0.0
all,linkedin,salary_min_annual_eur,4133,1425,0.345
all,linkedin,german_requirement,4133,1502,0.363
all,linkedin,seniority,4133,1635,0.396
all,linkedin,remote_type,4133,1898,0.459
all,linkedin,industry_raw,4133,10,0.002
all,willhaben,title,1508,0,0.0
all,willhaben,company,1508,0,0.0
all,willhaben,location_text,1508,2,0.001
all,willhaben,state,1508,21,0.014
all,willhaben,city,1508,307,0.204
all,willhaben,posted_date,1508,0,0.0
all,willhaben,description_text,1508,0,0.0
all,willhaben,employment_type_raw,1508,0,0.0
all,willhaben,salary_min_annual_eur,1508,387,0.257
all,willhaben,german_requirement,1508,744,0.493
all,willhaben,seniority,1508,1343,0.891
all,willhaben,remote_type,1508,529,0.351
all,willhaben,industry_raw,1508,1508,1.0
core,eures,title,223,0,0.0
core,eures,company,223,151,0.677
core,eures,location_text,223,223,1.0
core,eures,state,223,3,0.013
core,eures,city,223,102,0.457
core,eures,posted_date,223,0,0.0
core,eures,description_text,223,0,0.0
core,eures,employment_type_raw,223,0,0.0
core,eures,salary_min_annual_eur,223,14,0.063
core,eures,german_requirement,223,99,0.444
core,eures,seniority,223,153,0.686
core,eures,remote_type,223,119,0.534
core,eures,industry_raw,223,223,1.0
core,jobsat,title,65,0,0.0
core,jobsat,company,65,0,0.0
core,jobsat,location_text,65,0,0.0
core,jobsat,state,65,2,0.031
core,jobsat,city,65,2,0.031
core,jobsat,posted_date,65,0,0.0
core,jobsat,description_text,65,0,0.0
core,jobsat,employment_type_raw,65,0,0.0
core,jobsat,salary_min_annual_eur,65,3,0.046
core,jobsat,german_requirement,65,25,0.385
core,jobsat,seniority,65,34,0.523
core,jobsat,remote_type,65,20,0.308
core,jobsat,industry_raw,65,65,1.0
core,karriere,title,200,0,0.0
core,karriere,company,200,0,0.0
core,karriere,location_text,200,0,0.0
core,karriere,state,200,1,0.005
core,karriere,city,200,17,0.085
core,karriere,posted_date,200,0,0.0
core,karriere,description_text,200,0,0.0
core,karriere,employment_type_raw,200,0,0.0
core,karriere,salary_min_annual_eur,200,17,0.085
core,karriere,german_requirement,200,77,0.385
core,karriere,seniority,200,121,0.605
core,karriere,remote_type,200,33,0.165
core,karriere,industry_raw,200,200,1.0
core,linkedin,title,486,0,0.0
core,linkedin,company,486,0,0.0
core,linkedin,location_text,486,0,0.0
core,linkedin,state,486,22,0.045
core,linkedin,city,486,56,0.115
core,linkedin,posted_date,486,0,0.0
core,linkedin,description_text,486,0,0.0
core,linkedin,employment_type_raw,486,0,0.0
core,linkedin,salary_min_annual_eur,486,177,0.364
core,linkedin,german_requirement,486,181,0.372
core,linkedin,seniority,486,218,0.449
core,linkedin,remote_type,486,229,0.471
core,linkedin,industry_raw,486,0,0.0
core,willhaben,title,40,0,0.0
core,willhaben,company,40,0,0.0
core,willhaben,location_text,40,0,0.0
core,willhaben,state,40,0,0.0
core,willhaben,city,40,3,0.075
core,willhaben,posted_date,40,0,0.0
core,willhaben,description_text,40,0,0.0
core,willhaben,employment_type_raw,40,0,0.0
core,willhaben,salary_min_annual_eur,40,2,0.05
core,willhaben,german_requirement,40,13,0.325
core,willhaben,seniority,40,28,0.7
core,willhaben,remote_type,40,21,0.525
core,willhaben,industry_raw,40,40,1.0
