posting_uid,title,title_clean,role_family,normalized_title,role_rule,source
linkedin:4438579610,QA Data Analyst (m/w/d),qa data analyst,data_analytics,Data Analyst,data analy,linkedin
jobsat:7899573,Datenanalyst*in mit Fokus Wirkungsmessung (m/w/d),datenanalyst mit fokus wirkungsmessung,data_analytics,Data Analyst,daten[- ]?analy,jobsat
linkedin:4452470277,Praktikant Process Mining (w/m/x),praktikant process mining,data_analytics,Financial / Risk / Controlling Analyst (data-heavy),process mining,linkedin
jobsat:7889934,QA Data Analyst (m/w/d),qa data analyst,data_analytics,Data Analyst,data analy,jobsat
linkedin:4453099707,Data Analyst:in im Meldewesen,data analyst im meldewesen,data_analytics,Data Analyst,data analy,linkedin
linkedin:4465233192,Senior Data Analyst*,senior data analyst*,data_analytics,Data Analyst,data analy,linkedin
linkedin:4461312233,Senior Consultant (human) Planung mit IBM Planning Analytics (TM1),senior consultant human planung mit ibm planning analytics tm1,data_analytics,Data Analyst,\banalytics\b,linkedin
linkedin:4465811811,Team Lead Data & Analytics (m/f/d),team lead data & analytics,data_analytics,Data Analyst,data & analytics,linkedin
eures:MTczNDM2NTUgNDM,"Ersatzteil- und Bevorratungsanalyst (Parts Data & Inventory Analyst) (m/w/d)
Job-ID 84236",ersatzteil und bevorratungsanalyst parts data & inventory analyst job id 84236,data_analytics,Data Analyst,"analyst.{0,10}data",eures
linkedin:4458877817,Spezialist:in Sortimentsdaten & Analysen,spezialist sortimentsdaten & analysen,data_analytics,Data Analyst,"daten.{0,25}analys",linkedin
eures:MTczMzcyOTIgNDM,Senior Consultant (human) Planung mit IBM Planning Analytics (TM1),senior consultant human planung mit ibm planning analytics tm1,data_analytics,Data Analyst,\banalytics\b,eures
eures:MTczMTg0NjkgNDM,Data Analyst_in - Risikomanager_in (w/m/d),data analyst risikomanager,data_analytics,Data Analyst,data analy,eures
linkedin:4459221971,"CPV and Advanced Analytics Platforms Lead (m/w/d), Hybrid",cpv and advanced analytics platforms lead,data_analytics,Data Analyst,\banalytics\b,linkedin
karriere:10029965,Data Analyst/Scientist,data analyst / scientist,data_analytics,Data Analyst,data analy,karriere
jobsat:7896612,Data Analyst:in - Risikomanager:in (m/w/d),data analyst risikomanager,data_analytics,Data Analyst,data analy,jobsat
eures:MTcwNTY5MTkgNDM,Web Tracking & Analytics - DIN Consultant (w/m/d),web tracking & analytics din consultant,bi,BI Consultant / Analytics Consultant,"analytics.{0,10}(?:consultant|berater)",eures
linkedin:4450055713,Controller der Zukunft - Business Intelligence & Data Analytics (m/w/d),controller der zukunft business intelligence & data analytics,bi,BI Analyst,"business intelligence.{0,10}analy",linkedin
eures:MTcyNTAxMDQgNDM,Specialist BI & Business Controller (m/w/x),specialist bi & business controller,bi,BI Analyst,(?<![\w-])bi(?![\w-])(?!.*(?:engineer|developer|consultant)),eures
eures:MTcxMzQ2MTEgNDM,Senior BI Expert (m/w/x),senior bi expert,bi,BI Developer / BI Engineer,\bbi[- ]?(?:developer|entwickler|engineer|specialist|spezialist|expert|experte|architect|architekt),eures
eures:MTcyOTMwNTMgNDM,SAP BW & Analytics Cloud Consultant (m/w/d),sap bw & analytics cloud consultant,bi,BI Developer / BI Engineer,sap ?bw,eures
karriere:10032212,Junior Investment & Client Reporting Analyst (m/w/d),junior investment & client reporting analyst,bi,BI Analyst,reporting analy,karriere
