family_before,sample_pos,posting_uid,title,normalized_title_before,manual_label,family_after,normalized_title_after,kept_in_family_after
bi,1,karriere:7867333,Senior Consultant SAP Analytics (w/m/d),BI Developer / BI Engineer,TP,bi,BI Developer / BI Engineer,True
bi,2,linkedin:4464114243,SAP Solution Consultant – Supply Chain (w/m/d),BI Consultant / Analytics Consultant,FP,out_of_scope,,False
bi,3,linkedin:4458630186,Consultant Data & Insights (m/w/x),BI Consultant / Analytics Consultant,TP,bi,BI Consultant / Analytics Consultant,True
bi,4,linkedin:4459807546,Non-Financial Reporting Specialist (m/w/d),BI Developer / BI Engineer,FP,out_of_scope,,False
bi,5,karriere:7869436,Data Consultant (w/m/*),BI Consultant / Analytics Consultant,TP,bi,BI Consultant / Analytics Consultant,True
bi,6,linkedin:4445212684,SAP HCM Consultant (m/w) - Wien / Graz / Linz / Innsbruck / München / Mainz,BI Consultant / Analytics Consultant,FP,out_of_scope,,False
bi,7,eures:MTcyMjY1NTYgNDM,Business Intelligence Advisor (w/m/d),BI Analyst,TP,bi,BI Analyst,True
bi,8,eures:MTczNDkzMDcgNDM,Controller - Schwerpunkt Analytics & Business-Intelligence (m/w/d),BI Analyst,TP,bi,BI Analyst,True
bi,9,karriere:7814891,Regulatory Reporting Specialist (all genders) - Group Finance,BI Developer / BI Engineer,FP,out_of_scope,,False
bi,10,eures:MTY0ODQtazU3Nzc0LjI0NjYtUyAx,Business Analyst Produktion mit BI-Expertise (m/w/d) (Business-Analyst/in),BI Developer / BI Engineer,TP,bi,BI Developer / BI Engineer,True
bi,11,linkedin:4403355912,Senior Consultant Intelligent Data Processing / Input Management (all genders),BI Consultant / Analytics Consultant,FP,bi,BI Consultant / Analytics Consultant,True
bi,12,eures:MTczMTcwNzUgNDM,Teamleiter_in Vertriebscontrolling & Business Intelligence,BI Analyst,TP,bi,BI Analyst,True
bi,13,eures:MTczNDAxODIgNDM,Business Intelligence Analyst / Reporting (w/m/d),BI Analyst,TP,bi,BI Analyst,True
bi,14,linkedin:3997907166,Senior Consultant (w/m/d) – Banking & Financial Institutions,BI Consultant / Analytics Consultant,FP,out_of_scope,,False
bi,15,linkedin:4456651712,EDI Reporting Specialist (all gender),BI Developer / BI Engineer,FP,out_of_scope,,False
bi,16,linkedin:4427278734,Consultant SAP BTP & Agentic AI (all genders) – BCG Platinion - Vienna,BI Consultant / Analytics Consultant,FP,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",False
bi,17,eures:MTczMzE2MTggNDM,Working Student BI (m/w/d),BI Analyst,TP,bi,BI Analyst,True
bi,18,linkedin:4439220908,Senior SAP BW & Datasphere Consultant (m/w/d),BI Developer / BI Engineer,TP,bi,BI Developer / BI Engineer,True
bi,19,linkedin:4455877134,"Senior Consultant Search, Content & AI Visibility (SEO/GEO) (m/w/d), Wien",BI Consultant / Analytics Consultant,FP,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",False
bi,20,linkedin:4455739657,"Expert:in Internationales Reporting & Innovation (Versicherung, Power BI & KI)",BI Analyst,TP,bi,BI Analyst,True
bi,21,eures:MTczMDAyMTEgNDM,Managing Consultant Banking (all genders),BI Consultant / Analytics Consultant,FP,out_of_scope,,False
bi,22,karriere:7855283,Business Analytics Consultant (w/m/d),BI Consultant / Analytics Consultant,TP,bi,BI Consultant / Analytics Consultant,True
bi,23,linkedin:4457467455,Business Intelligence & Automations Engineer (w/m/d),BI Analyst,borderline,bi,BI Analyst,True
bi,24,linkedin:4438892573,Data & Analytics Consultant (m/w/d),BI Consultant / Analytics Consultant,TP,bi,BI Consultant / Analytics Consultant,True
bi,25,eures:MTcyODc5MjQgNDM,Junior Data/Reporting Analyst (all genders) im Bereich Digital Services,BI Analyst,TP,bi,BI Analyst,True
business_analysis,1,linkedin:4462511455,MES Business Analyst,Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,2,eures:MTcyOTY5NjEgNDM,Business Process Manager Kundendienst (m/w/d) Job-ID 82029,Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,3,karriere:7874263,Requirements Engineer m/w/d,Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,4,eures:MTczMjY4MjcgNDM,Senior Expert IT Business Applications FICO (all genders),Business Analyst,FP,out_of_scope,,False
