sector,sector_label,sample,quarter,n_years,index_a_own_year_mean,ci_low,ci_high,index_b_moving_average,years_above_average,pct_years_above_average
B-F,Industry & construction (NACE B-F),full,Q1,17,1.072,0.993,1.151,1.084,10,0.59
B-F,Industry & construction (NACE B-F),full,Q2,17,0.993,0.944,1.042,0.997,8,0.47
B-F,Industry & construction (NACE B-F),full,Q3,17,0.978,0.933,1.022,0.97,4,0.24
B-F,Industry & construction (NACE B-F),full,Q4,17,0.957,0.876,1.039,0.93,6,0.35
B-S,Total economy (NACE B-S),full,Q1,16,1.014,0.955,1.072,1.032,10,0.62
B-S,Total economy (NACE B-S),full,Q2,16,0.995,0.96,1.03,1.003,10,0.62
B-S,Total economy (NACE B-S),full,Q3,16,1.022,0.994,1.05,1.015,9,0.56
B-S,Total economy (NACE B-S),full,Q4,16,0.97,0.916,1.023,0.952,4,0.25
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",full,Q1,17,1.007,0.947,1.068,1.016,10,0.59
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",full,Q2,17,0.979,0.942,1.015,0.99,8,0.47
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",full,Q3,17,1.038,1.005,1.07,1.031,12,0.71
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",full,Q4,17,0.976,0.929,1.023,0.959,5,0.29
O-S,"Public sector, education, health (NACE O-S)",full,Q1,17,0.989,0.925,1.053,1.0,7,0.41
O-S,"Public sector, education, health (NACE O-S)",full,Q2,17,1.058,1.004,1.112,1.058,12,0.71
O-S,"Public sector, education, health (NACE O-S)",full,Q3,17,1.023,0.971,1.074,1.016,10,0.59
O-S,"Public sector, education, health (NACE O-S)",full,Q4,17,0.93,0.847,1.013,0.915,5,0.29
B-F,Industry & construction (NACE B-F),excl_covid,Q1,15,1.081,0.999,1.164,1.087,9,0.6
B-F,Industry & construction (NACE B-F),excl_covid,Q2,15,1.01,0.963,1.057,1.016,8,0.53
B-F,Industry & construction (NACE B-F),excl_covid,Q3,15,0.971,0.923,1.018,0.966,3,0.2
B-F,Industry & construction (NACE B-F),excl_covid,Q4,15,0.938,0.85,1.026,0.916,4,0.27
B-S,Total economy (NACE B-S),excl_covid,Q1,14,1.02,0.971,1.07,1.035,9,0.64
B-S,Total economy (NACE B-S),excl_covid,Q2,14,1.011,0.982,1.04,1.018,10,0.71
B-S,Total economy (NACE B-S),excl_covid,Q3,14,1.019,0.991,1.047,1.016,8,0.57
B-S,Total economy (NACE B-S),excl_covid,Q4,14,0.95,0.901,1.0,0.942,2,0.14
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",excl_covid,Q1,15,1.016,0.962,1.069,1.021,9,0.6
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",excl_covid,Q2,15,0.992,0.957,1.026,0.998,8,0.53
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",excl_covid,Q3,15,1.033,0.998,1.068,1.031,10,0.67
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",excl_covid,Q4,15,0.96,0.918,1.001,0.954,3,0.2
O-S,"Public sector, education, health (NACE O-S)",excl_covid,Q1,15,0.992,0.941,1.042,0.998,6,0.4
O-S,"Public sector, education, health (NACE O-S)",excl_covid,Q2,15,1.075,1.02,1.13,1.08,12,0.8
O-S,"Public sector, education, health (NACE O-S)",excl_covid,Q3,15,1.029,0.974,1.084,1.024,9,0.6
O-S,"Public sector, education, health (NACE O-S)",excl_covid,Q4,15,0.904,0.825,0.984,0.889,4,0.27
B-F,Industry & construction (NACE B-F),from_2015,Q1,11,1.041,0.955,1.127,1.067,6,0.55
B-F,Industry & construction (NACE B-F),from_2015,Q2,11,0.976,0.92,1.031,0.981,4,0.36
B-F,Industry & construction (NACE B-F),from_2015,Q3,11,0.988,0.943,1.032,0.978,3,0.27
B-F,Industry & construction (NACE B-F),from_2015,Q4,11,0.996,0.926,1.066,0.967,5,0.45
B-S,Total economy (NACE B-S),from_2015,Q1,11,1.01,0.933,1.088,1.026,6,0.55
B-S,Total economy (NACE B-S),from_2015,Q2,11,0.991,0.945,1.037,0.996,7,0.64
B-S,Total economy (NACE B-S),from_2015,Q3,11,1.023,0.991,1.054,1.016,6,0.55
B-S,Total economy (NACE B-S),from_2015,Q4,11,0.976,0.912,1.04,0.958,3,0.27
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",from_2015,Q1,11,0.999,0.913,1.085,1.01,6,0.55
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",from_2015,Q2,11,0.986,0.938,1.035,0.988,6,0.55
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",from_2015,Q3,11,1.039,1.008,1.07,1.033,9,0.82
G-N,"Market services incl. ICT, finance, professional (NACE G-N)",from_2015,Q4,11,0.976,0.906,1.046,0.962,4,0.36
O-S,"Public sector, education, health (NACE O-S)",from_2015,Q1,11,1.003,0.908,1.098,1.015,4,0.36
O-S,"Public sector, education, health (NACE O-S)",from_2015,Q2,11,1.036,0.962,1.11,1.056,7,0.64
O-S,"Public sector, education, health (NACE O-S)",from_2015,Q3,11,1.01,0.953,1.066,1.0,6,0.55
O-S,"Public sector, education, health (NACE O-S)",from_2015,Q4,11,0.951,0.85,1.052,0.933,3,0.27
