sector,year,quarter,vacancies,year_mean,ratio_own_year_mean,ratio_moving_average
B-F,2009,Q1,12111,9133.5,1.326,
B-F,2009,Q2,9807,9133.5,1.074,
B-F,2009,Q3,8286,9133.5,0.907,0.908
B-F,2009,Q4,6330,9133.5,0.693,0.664
B-F,2010,Q1,12050,14370.0,0.839,1.132
B-F,2010,Q2,13147,14370.0,0.915,1.022
B-F,2010,Q3,13856,14370.0,0.964,0.934
B-F,2010,Q4,18427,14370.0,1.282,1.183
B-F,2011,Q1,15741,13439.8,1.171,1.005
B-F,2011,Q2,15387,13439.8,1.145,1.064
B-F,2011,Q3,12347,13439.8,0.919,0.937
B-F,2011,Q4,10284,13439.8,0.765,0.798
B-F,2012,Q1,13620,13783.0,0.988,1.019
B-F,2012,Q2,15161,13783.0,1.1,1.096
B-F,2012,Q3,16494,13783.0,1.197,1.198
B-F,2012,Q4,9857,13783.0,0.715,0.734
B-F,2013,Q1,13471,11875.8,1.134,1.084
B-F,2013,Q2,12660,11875.8,1.066,1.073
B-F,2013,Q3,10936,11875.8,0.921,0.888
B-F,2013,Q4,10436,11875.8,0.879,0.833
B-F,2014,Q1,17005,12870.8,1.321,1.381
B-F,2014,Q2,10865,12870.8,0.844,0.863
B-F,2014,Q3,10959,12870.8,0.851,0.875
B-F,2014,Q4,12654,12870.8,0.983,1.002
B-F,2015,Q1,14219,14726.2,0.966,1.058
B-F,2015,Q2,14533,14726.2,0.987,1.019
B-F,2015,Q3,13767,14726.2,0.935,0.924
B-F,2015,Q4,16386,14726.2,1.113,1.048
B-F,2016,Q1,15620,17409.5,0.897,0.943
B-F,2016,Q2,18988,17409.5,1.091,1.105
B-F,2016,Q3,16795,17409.5,0.965,0.907
B-F,2016,Q4,18235,17409.5,1.047,0.89
B-F,2017,Q1,24446,24906.5,0.982,1.094
B-F,2017,Q2,25993,24906.5,1.044,1.078
B-F,2017,Q3,24615,24906.5,0.988,0.955
B-F,2017,Q4,24572,24906.5,0.987,0.904
B-F,2018,Q1,31367,34248.5,0.916,1.071
B-F,2018,Q2,30240,34248.5,0.883,0.929
B-F,2018,Q3,37316,34248.5,1.09,1.05
B-F,2018,Q4,38071,34248.5,1.112,1.014
B-F,2019,Q1,41593,37507.0,1.109,1.09
B-F,2019,Q2,36222,37507.0,0.966,0.959
B-F,2019,Q3,36267,37507.0,0.967,0.985
B-F,2019,Q4,35946,37507.0,0.958,1.037
B-F,2020,Q1,35967,30679.2,1.172,1.112
B-F,2020,Q2,24771,30679.2,0.807,0.797
B-F,2020,Q3,29219,30679.2,0.952,0.943
B-F,2020,Q4,32760,30679.2,1.068,0.979
B-F,2021,Q1,38460,45797.8,0.84,1.004
B-F,2021,Q2,42018,45797.8,0.917,0.968
B-F,2021,Q3,50721,45797.8,1.107,1.034
B-F,2021,Q4,51992,45797.8,1.135,0.955
B-F,2022,Q1,64509,60964.2,1.058,1.106
B-F,2022,Q2,59135,60964.2,0.97,0.977
B-F,2022,Q3,64611,60964.2,1.06,1.067
B-F,2022,Q4,55602,60964.2,0.912,0.945
B-F,2023,Q1,61128,49556.5,1.234,1.107
B-F,2023,Q2,48817,49556.5,0.985,0.953
B-F,2023,Q3,46181,49556.5,0.932,0.968
B-F,2023,Q4,42100,49556.5,0.85,0.937
B-F,2024,Q1,46146,40607.0,1.136,1.074
B-F,2024,Q2,41711,40607.0,1.027,1.011
B-F,2024,Q3,37790,40607.0,0.931,0.949
B-F,2024,Q4,36781,40607.0,0.906,0.958
B-F,2025,Q1,39817,34896.5,1.141,1.071
B-F,2025,Q2,36821,34896.5,1.055,1.031
B-F,2025,Q3,32686,34896.5,0.937,
B-F,2025,Q4,30262,34896.5,0.867,
B-S,2010,Q1,57983,69056.2,0.84,
B-S,2010,Q2,63005,69056.2,0.912,
B-S,2010,Q3,76321,69056.2,1.105,1.057
B-S,2010,Q4,78916,69056.2,1.143,1.025
B-S,2011,Q1,83315,73759.2,1.13,1.07
B-S,2011,Q2,75720,73759.2,1.027,1.003
B-S,2011,Q3,70828,73759.2,0.96,0.978
B-S,2011,Q4,65174,73759.2,0.884,0.918
B-S,2012,Q1,72574,69502.0,1.044,1.018
B-S,2012,Q2,75350,69502.0,1.084,1.068
B-S,2012,Q3,73143,69502.0,1.052,1.059
B-S,2012,Q4,56941,69502.0,0.819,0.843
B-S,2013,Q1,69058,64950.0,1.063,1.063
B-S,2013,Q2,66735,64950.0,1.027,1.04
B-S,2013,Q3,60936,64950.0,0.938,0.938
B-S,2013,Q4,63071,64950.0,0.971,0.972
B-S,2014,Q1,69445,67783.0,1.025,1.052
B-S,2014,Q2,65548,67783.0,0.967,0.971
B-S,2014,Q3,70989,67783.0,1.047,1.042
B-S,2014,Q4,65150,67783.0,0.961,0.938
B-S,2015,Q1,72433,73528.2,0.985,1.014
B-S,2015,Q2,73158,73528.2,0.995,1.003
B-S,2015,Q3,78732,73528.2,1.071,1.055
B-S,2015,Q4,69790,73528.2,0.949,0.903
B-S,2016,Q1,81221,81150.0,1.001,1.027
B-S,2016,Q2,85475,81150.0,1.053,1.065
B-S,2016,Q3,81038,81150.0,0.999,0.978
B-S,2016,Q4,76866,81150.0,0.947,0.874
B-S,2017,Q1,94930,106742.5,0.889,0.995
B-S,2017,Q2,112553,106742.5,1.054,1.092
B-S,2017,Q3,113145,106742.5,1.06,1.02
B-S,2017,Q4,106342,106742.5,0.996,0.914
B-S,2018,Q1,128232,133065.2,0.964,1.063
B-S,2018,Q2,122377,133065.2,0.92,0.953
B-S,2018,Q3,138276,133065.2,1.039,1.024
B-S,2018,Q4,143376,133065.2,1.077,1.028
B-S,2019,Q1,144339,140767.2,1.025,1.013
B-S,2019,Q2,141765,140767.2,1.007,1.0
B-S,2019,Q3,142115,140767.2,1.01,1.023
B-S,2019,Q4,134850,140767.2,0.958,1.028
B-S,2020,Q1,130059,111609.2,1.165,1.075
B-S,2020,Q2,93566,111609.2,0.838,0.819
B-S,2020,Q3,109126,111609.2,0.978,0.985
B-S,2020,Q4,113686,111609.2,1.019,0.971
B-S,2021,Q1,123621,161197.2,0.767,0.93
B-S,2021,Q2,149966,161197.2,0.93,0.99
B-S,2021,Q3,179514,161197.2,1.114,1.032
B-S,2021,Q4,191688,161197.2,1.189,0.973
B-S,2022,Q1,226124,230379.5,0.982,1.052
B-S,2022,Q2,231671,230379.5,1.006,1.023
B-S,2022,Q3,240867,230379.5,1.046,1.044
B-S,2022,Q4,222856,230379.5,0.967,0.974
B-S,2023,Q1,228316,206435.2,1.106,1.03
B-S,2023,Q2,214045,206435.2,1.037,1.011
B-S,2023,Q3,202339,206435.2,0.98,0.999
B-S,2023,Q4,181041,206435.2,0.877,0.935
B-S,2024,Q1,196440,173825.5,1.13,1.066
B-S,2024,Q2,174715,173825.5,1.005,0.988
B-S,2024,Q3,167848,173825.5,0.966,0.996
B-S,2024,Q4,156299,173825.5,0.899,0.978
B-S,2025,Q1,154052,139938.2,1.101,1.008
B-S,2025,Q2,147941,139938.2,1.057,1.024
B-S,2025,Q3,138120,139938.2,0.987,
B-S,2025,Q4,119640,139938.2,0.855,
G-N,2009,Q1,35659,33680.2,1.059,
G-N,2009,Q2,29691,33680.2,0.882,
G-N,2009,Q3,36777,33680.2,1.092,1.082
G-N,2009,Q4,32594,33680.2,0.968,0.916
G-N,2010,Q1,38156,44778.0,0.852,0.986
G-N,2010,Q2,40008,44778.0,0.893,0.938
G-N,2010,Q3,51435,44778.0,1.149,1.093
G-N,2010,Q4,49513,44778.0,1.106,0.986
G-N,2011,Q1,56423,49313.5,1.144,1.116
G-N,2011,Q2,46967,49313.5,0.952,0.946
G-N,2011,Q3,47113,49313.5,0.955,0.974
G-N,2011,Q4,46751,49313.5,0.948,0.983
G-N,2012,Q1,48813,45213.8,1.08,1.034
G-N,2012,Q2,48002,45213.8,1.062,1.044
G-N,2012,Q3,43282,45213.8,0.957,0.965
G-N,2012,Q4,40758,45213.8,0.901,0.926
G-N,2013,Q1,45855,43470.0,1.055,1.059
G-N,2013,Q2,44398,43470.0,1.021,1.027
G-N,2013,Q3,41040,43470.0,0.944,0.954
G-N,2013,Q4,42587,43470.0,0.98,1.002
G-N,2014,Q1,42401,44677.5,0.949,0.974
G-N,2014,Q2,43694,44677.5,0.978,0.979
G-N,2014,Q3,49777,44677.5,1.114,1.101
G-N,2014,Q4,42838,44677.5,0.959,0.924
G-N,2015,Q1,46794,47355.8,0.988,0.991
G-N,2015,Q2,48388,47355.8,1.022,1.021
G-N,2015,Q3,51816,47355.8,1.094,1.077
G-N,2015,Q4,42425,47355.8,0.896,0.866
G-N,2016,Q1,52946,50190.0,1.055,1.08
G-N,2016,Q2,49369,50190.0,0.984,0.997
G-N,2016,Q3,50743,50190.0,1.011,1.009
G-N,2016,Q4,47702,50190.0,0.95,0.902
G-N,2017,Q1,53674,66647.5,0.805,0.924
G-N,2017,Q2,69289,66647.5,1.04,1.087
G-N,2017,Q3,72470,66647.5,1.087,1.039
G-N,2017,Q4,71157,66647.5,1.068,0.975
G-N,2018,Q1,78307,79928.5,0.98,1.049
G-N,2018,Q2,70966,79928.5,0.888,0.91
G-N,2018,Q3,84009,79928.5,1.051,1.04
G-N,2018,Q4,86432,79928.5,1.081,1.035
G-N,2019,Q1,85314,83717.8,1.019,0.997
G-N,2019,Q2,85918,83717.8,1.026,1.014
G-N,2019,Q3,85039,83717.8,1.016,1.034
G-N,2019,Q4,78600,83717.8,0.939,1.024
G-N,2020,Q1,73629,64199.8,1.147,1.049
G-N,2020,Q2,53451,64199.8,0.833,0.81
G-N,2020,Q3,65163,64199.8,1.015,1.023
G-N,2020,Q4,64556,64199.8,1.006,0.956
G-N,2021,Q1,69853,93928.2,0.744,0.908
G-N,2021,Q2,87685,93928.2,0.934,0.997
G-N,2021,Q3,105796,93928.2,1.126,1.042
G-N,2021,Q4,112379,93928.2,1.196,0.969
G-N,2022,Q1,131024,137704.5,0.951,1.028
G-N,2022,Q2,141999,137704.5,1.031,1.052
G-N,2022,Q3,143486,137704.5,1.042,1.039
G-N,2022,Q4,134309,137704.5,0.975,0.981
G-N,2023,Q1,134684,122663.8,1.098,1.019
G-N,2023,Q2,127916,122663.8,1.043,1.016
G-N,2023,Q3,120126,122663.8,0.979,1.001
G-N,2023,Q4,107929,122663.8,0.88,0.95
G-N,2024,Q1,113160,100048.0,1.131,1.053
G-N,2024,Q2,98806,100048.0,0.988,0.964
G-N,2024,Q3,99746,100048.0,0.997,1.029
G-N,2024,Q4,88480,100048.0,0.884,0.958
G-N,2025,Q1,87967,82240.0,1.07,0.99
G-N,2025,Q2,87528,82240.0,1.064,1.036
