sector,year,mean_vacancies
B-F,2009,9134.0
B-F,2010,14370.0
B-F,2011,13440.0
B-F,2012,13783.0
B-F,2013,11876.0
B-F,2014,12871.0
B-F,2015,14726.0
B-F,2016,17410.0
B-F,2017,24906.0
B-F,2018,34248.0
B-F,2019,37507.0
B-F,2020,30679.0
B-F,2021,45798.0
B-F,2022,60964.0
B-F,2023,49556.0
B-F,2024,40607.0
B-F,2025,34896.0
B-S,2010,69056.0
B-S,2011,73759.0
B-S,2012,69502.0
B-S,2013,64950.0
B-S,2014,67783.0
B-S,2015,73528.0
B-S,2016,81150.0
B-S,2017,106742.0
B-S,2018,133065.0
B-S,2019,140767.0
B-S,2020,111609.0
B-S,2021,161197.0
B-S,2022,230380.0
B-S,2023,206435.0
B-S,2024,173826.0
B-S,2025,139938.0
G-N,2009,33680.0
G-N,2010,44778.0
G-N,2011,49314.0
G-N,2012,45214.0
G-N,2013,43470.0
G-N,2014,44678.0
G-N,2015,47356.0
G-N,2016,50190.0
G-N,2017,66648.0
G-N,2018,79928.0
G-N,2019,83718.0
G-N,2020,64200.0
G-N,2021,93928.0
G-N,2022,137704.0
G-N,2023,122664.0
G-N,2024,100048.0
G-N,2025,82240.0
O-S,2009,9905.0
O-S,2010,9908.0
O-S,2011,11006.0
O-S,2012,10505.0
O-S,2013,9604.0
O-S,2014,10235.0
O-S,2015,11446.0
O-S,2016,13551.0
O-S,2017,15188.0
O-S,2018,18888.0
O-S,2019,19542.0
O-S,2020,16731.0
O-S,2021,21472.0
O-S,2022,31710.0
O-S,2023,34215.0
O-S,2024,33170.0
O-S,2025,22802.0
