esco_uri,count
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,30
http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e,23
http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,14
http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,11
http://data.europa.eu/esco/occupation/1562c7a3-c7d9-419d-b9b6-db26610bcf84,10
http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,10
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,7
http://data.europa.eu/esco/occupation/6c999fc7-c6b7-4ef3-a4b9-af124a1783a2,7
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,5
http://data.europa.eu/esco/occupation/b11e1742-5e28-4270-b081-b0193d85ee7d,5
http://data.europa.eu/esco/occupation/64c7d461-152c-477f-a8e2-c2c537e9d617,5
http://data.europa.eu/esco/occupation/b76178c0-a03a-4793-b079-1e61e636c521,5
http://data.europa.eu/esco/occupation/fde4372d-8293-42de-afbb-8b5a9b274fe7,5
http://data.europa.eu/esco/occupation/12ff7f9c-c5b5-4d4a-b585-c350dd1400eb,4
http://data.europa.eu/esco/occupation/4f49df98-98b8-4a9e-98ad-9c5557817eba,4
http://data.europa.eu/esco/occupation/1209b85e-80f1-490f-a7e1-6ad220bb956d,3
http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8,3
http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,3
http://data.europa.eu/esco/occupation/82f90e87-de92-4678-adae-61d3e5f7e1e4,3
http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,2
http://data.europa.eu/esco/occupation/c94f3565-d987-431f-a46b-6f4e018e0bd7,2
http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,2
http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321,2
http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,2
http://data.europa.eu/esco/occupation/6fc8f605-98b9-4218-b5e2-91c4c9c55c4d,2
http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100,2
http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,2
http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,2
http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed,1
http://data.europa.eu/esco/occupation/fe0fa514-b48d-4a53-9757-a283c0baacf0,1
http://data.europa.eu/esco/occupation/6d03eaef-1ce5-4a1e-bb41-0908e1af1b65,1
http://data.europa.eu/esco/occupation/207d7b18-6540-432e-8aa6-785ed434572f,1
http://data.europa.eu/esco/occupation/f3b99acc-b212-45cf-bb4f-7b83cc6f0d71,1
http://data.europa.eu/esco/occupation/e297ec12-4712-40a4-ad98-ba004cacb205,1
http://data.europa.eu/esco/occupation/56fa783a-cca4-42ef-8862-1fb6e43f215c,1
http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,1
http://data.europa.eu/esco/occupation/1313aeea-63a9-4b4d-82d1-dbe00ff9ed10,1
http://data.europa.eu/esco/occupation/5791a961-4717-4230-a245-a4082a675f04,1
http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77,1
http://data.europa.eu/esco/occupation/57b459d4-655c-4053-b189-3c249ce33faf,1
