company_norm,postings,families,states,styria,graz_area,is_agency,sources,example_company
red bull,10,"data_analytics,data_governance,data_science",Salzburg,0,0,False,"karriere,linkedin",Red Bull
qualysoft,7,"business_analysis,data_engineering,data_science",Wien,0,0,False,linkedin,Qualysoft
liebherr,7,"bi,business_analysis,data_analytics,data_engineering,data_governance",Vorarlberg,0,0,False,linkedin,Liebherr Group
knapp,7,"business_analysis,data_analytics,data_engineering,data_science",Steiermark,7,6,False,karriere,KNAPP
hirebuddy flexco,6,"bi,business_analysis,data_engineering","Niederösterreich,Wien",0,0,False,willhaben,Hirebuddy FlexCo
kern engineering careers,6,"bi,data_engineering,data_science","Oberösterreich,Steiermark,Wien",1,1,False,"karriere,willhaben",KERN engineering careers GmbH
pwc,5,"business_analysis,data_analytics,data_governance",Wien,0,0,False,karriere,PwC Österreich
öbb,5,"business_analysis,data_governance",Wien,0,0,False,linkedin,ÖBB
öbb-konzern,5,"business_analysis,data_governance","Niederösterreich,Wien",0,0,False,"jobsat,karriere",ÖBB-Konzern
accenture dach,5,"data_analytics,data_engineering,data_science","Tirol,Wien",0,0,False,linkedin,Accenture DACH
msg,4,"bi,data_science",Oberösterreich,0,0,False,linkedin,msg
tieto,4,"data_engineering,data_science","Steiermark,Wien",3,3,False,"karriere,linkedin",Tieto Austria
smart energy services,4,"bi,business_analysis,data_engineering",Wien,0,0,False,"eures,karriere,linkedin",smart Energy Services
towa the digital growth company,4,marketing_analytics,"Vorarlberg,Wien",0,0,False,linkedin,TOWA. the digital growth company
rhi magnesita,4,"bi,data_engineering,data_science",Wien,0,0,False,linkedin,RHI Magnesita
cancom,4,"bi,data_engineering","Vorarlberg,Wien",2,2,False,"eures,karriere",CANCOM Austria AG
adesso,4,"data_engineering,data_science",Steiermark,4,4,False,"eures,linkedin",adesso Austria
fronius,4,"data_engineering,data_science","Oberösterreich,Wien",0,0,False,"karriere,linkedin",Fronius
liebherr-werk nenzing,4,"bi,business_analysis,data_analytics,data_engineering",Vorarlberg,0,0,False,eures,LIEBHERR-WERK NENZING
rewe,3,"business_analysis,data_analytics","Niederösterreich,Wien",0,0,False,linkedin,REWE International AG
machine learning reply,3,data_science,Wien,0,0,False,linkedin,Machine Learning Reply GmbH
bundesrechenzentrum,3,"data_governance,data_science",Wien,0,0,False,karriere,Bundesrechenzentrum GmbH
magenta telekom,3,"business_analysis,marketing_analytics",Wien,0,0,False,"eures,karriere,linkedin",Magenta Telekom
doppelmayr seilbahnen,3,"business_analysis,data_science",Vorarlberg,0,0,False,eures,Doppelmayr Seilbahnen
bcg x,3,data_science,Wien,0,0,False,linkedin,BCG X
b telligent,3,"bi,data_engineering",Wien,0,0,False,linkedin,b.telligent
österreichische post aktiengesellschaft,3,"business_analysis,data_engineering",Wien,0,0,False,willhaben,Österreichische Post Aktiengesellschaft
österreichische post,3,"business_analysis,data_engineering",Wien,0,0,False,"jobsat,linkedin",Österreichische Post AG
xxxldigital,3,"business_analysis,data_analytics,marketing_analytics",Wien,0,0,False,jobsat,xxxldigital
coolpeople technology,3,business_analysis,Wien,0,0,False,linkedin,CoolPeople Technology
heron innovations factory,3,"business_analysis,data_science",Vorarlberg,0,0,False,linkedin,Heron Innovations Factory GmbH
fivesquare,3,data_science,"Oberösterreich,Wien",0,0,False,"jobsat,linkedin",FiveSquare
michael page,3,"bi,data_engineering","Salzburg,Wien",0,0,True,karriere,Michael Page International Austria GmbH
deloitte,3,"bi,data_analytics",Wien,0,0,False,"karriere,linkedin",Deloitte
volksbank wien,3,"data_engineering,data_governance",Wien,0,0,False,"jobsat,karriere",VOLKSBANK WIEN AG
wienerberger,3,"bi,data_science",Wien,0,0,False,linkedin,wienerberger
vienna insurance wiener versicherung,3,"data_engineering,data_governance",Wien,0,0,False,karriere,Vienna Insurance Group AG Wiener Versicherung Gruppe
sportsbook software,3,data_engineering,Wien,0,0,False,karriere,Sportsbook Software GmbH
voestalpine,3,"business_analysis,data_science","Niederösterreich,Wien",0,0,False,"karriere,linkedin",voestalpine AG
uniqa versicherungen,2,"bi,data_analytics",Wien,0,0,False,jobsat,UNIQA Österreich Versicherungen AG
spar österreichische warenhandels,2,"business_analysis,data_analytics","Salzburg,Wien",0,0,False,willhaben,SPAR Österreichische Warenhandels-AG
tgw logistics,2,"business_analysis,data_engineering",Oberösterreich,0,0,False,"karriere,linkedin",TGW Logistics GmbH
blum,2,"bi,marketing_analytics",Vorarlberg,0,0,False,linkedin,Blum Group
tüv,2,"data_engineering,data_science",Wien,0,0,False,linkedin,TÜV AUSTRIA
anton paar,2,data_science,Steiermark,2,2,False,linkedin,Anton Paar
wienit,2,"data_analytics,data_engineering",Wien,0,0,False,linkedin,WienIT GmbH
vienna insurance,2,data_engineering,Wien,0,0,False,linkedin,Vienna Insurance Group
avanade,2,"data_analytics,data_engineering",Tirol,0,0,False,linkedin,Avanade
netconomy,2,"data_engineering,data_science","Kärnten,Steiermark",1,1,False,linkedin,Netconomy
niceshops,2,data_analytics,Steiermark,2,2,False,"karriere,willhaben",niceshops GmbH
nortal,2,"bi,data_governance",,0,0,False,linkedin,Nortal
oberbank,2,"data_analytics,data_engineering",Oberösterreich,0,0,False,"jobsat,linkedin",Oberbank
palfinger,2,"data_engineering,data_governance",Salzburg,0,0,False,"eures,karriere",Palfinger Europe
brp-rotax,2,business_analysis,Oberösterreich,0,0,False,linkedin,BRP-Rotax
clc consulting,2,data_engineering,"Niederösterreich,Wien",0,0,False,linkedin,CLC Consulting
capgemini,2,business_analysis,Wien,0,0,False,linkedin,Capgemini
