industry_raw,eures,jobsat,karriere,linkedin,willhaben
IT-Dienstleistungen und IT-Beratung,0,0,0,66,0
Softwareentwicklung,0,0,0,26,0
Unternehmensberatung,0,0,0,19,0
Einzelhandel,0,0,0,11,0
Fahrzeugbau,0,0,0,8,0
Fertigung,0,0,0,8,0
Herstellung von Industriemaschinen,0,0,0,8,0
"Technologie, Information und Internet",0,0,0,6,0
Krankenhäuser und Gesundheitseinrichtungen,0,0,0,5,0
Arzneimittelherstellung,0,0,0,5,0
LKW-Transport,0,0,0,5,0
"Herstellung von Haushalts-, Elektro- und Elektronikgeräten",0,0,0,5,0
Versicherungswesen,0,0,0,5,0
Bankwesen,0,0,0,4,0
IT und Services,0,0,0,4,0
Werbedienstleistungen,0,0,0,4,0
Telekommunikation,0,0,0,4,0
Herstellung von Automatisierungsanlagen,0,0,0,3,0
Gebäudebau,0,0,0,3,0
Gastronomie und Getränkeservice,0,0,0,3,0
Herstellung von Halbleitern,0,0,0,3,0
Erneuerbare Energien und Halbleiterproduktion,0,0,0,3,0
Finanzdienstleistungen,0,0,0,3,0
Marketingdienstleistungen,0,0,0,3,0
Softwareentwicklung und IT-Dienstleistungen und IT-Beratung,0,0,0,3,0
Herstellung von Papier- und Forstprodukten,0,0,0,3,0
Maschinenbau,0,0,0,3,0
Energietechnologie,0,0,0,2,0
Bergbau,0,0,0,2,0
Dateninfrastruktur und -analytik,0,0,0,2,0
Plattformen für Internethandel,0,0,0,2,0
Personalbesetzung und Rekrutierung,0,0,0,2,0
Marktforschung,0,0,0,2,0
Robotik,0,0,0,2,0
Maschinenbau & Betriebstechnik,0,0,0,2,0
Herstellung von Verpackungen und Behältnissen,0,0,0,2,0
Herstellung von Möbeln und Einrichtungsgegenständen,0,0,0,2,0
Internet-Publishing,0,0,0,2,0
Herstellung medizinischer Geräte,0,0,0,2,0
Versorgungsdienstleistungen,0,0,0,2,0
