skill,count,n,share,ci_low,ci_high
SQL,291,719,0.405,0.369,0.441
AI (generic),276,719,0.384,0.349,0.42
Data Visualization,274,719,0.381,0.346,0.417
Python,253,719,0.352,0.318,0.387
Data Governance/Quality,220,719,0.306,0.273,0.341
Cloud (generic),206,719,0.287,0.255,0.321
ETL/ELT,159,719,0.221,0.192,0.253
Azure,139,719,0.193,0.166,0.224
Power BI,132,719,0.184,0.157,0.214
Excel,128,719,0.178,0.152,0.208
Data Modeling,118,719,0.164,0.139,0.193
Machine Learning,118,719,0.164,0.139,0.193
Generative AI / LLM,117,719,0.163,0.138,0.191
CI/CD,109,719,0.152,0.127,0.18
Statistics (general),98,719,0.136,0.113,0.163
Databricks,83,719,0.115,0.094,0.141
REST APIs,83,719,0.115,0.094,0.141
Mathematics,77,719,0.107,0.087,0.132
Data Warehouse (generic),72,719,0.1,0.08,0.124
Git,71,719,0.099,0.079,0.123
AWS,62,719,0.086,0.068,0.109
R,51,719,0.071,0.054,0.092
Streaming,51,719,0.071,0.054,0.092
Data Lake/Lakehouse,51,719,0.071,0.054,0.092
Java,51,719,0.071,0.054,0.092
Spark,47,719,0.065,0.05,0.086
MLOps,46,719,0.064,0.048,0.084
Docker,44,719,0.061,0.046,0.081
Oracle,41,719,0.057,0.042,0.076
Microsoft Fabric,41,719,0.057,0.042,0.076
Snowflake,41,719,0.057,0.042,0.076
GCP,41,719,0.057,0.042,0.076
Forecasting,41,719,0.057,0.042,0.076
Kubernetes,40,719,0.056,0.041,0.075
Segmentation/Clustering,40,719,0.056,0.041,0.075
SAP BW/BO,38,719,0.053,0.039,0.072
SQL Server,38,719,0.053,0.039,0.072
Bash/Shell,35,719,0.049,0.035,0.067
C#,34,719,0.047,0.034,0.065
PostgreSQL,33,719,0.046,0.033,0.064
PyTorch,32,719,0.045,0.032,0.062
Exploratory Analysis,30,719,0.042,0.029,0.059
JavaScript,30,719,0.042,0.029,0.059
Jupyter,29,719,0.04,0.028,0.057
Terraform/IaC,26,719,0.036,0.025,0.052
scikit-learn,25,719,0.035,0.024,0.051
dbt,25,719,0.035,0.024,0.051
BigQuery,25,719,0.035,0.024,0.051
Predictive Analytics,25,719,0.035,0.024,0.051
Tableau,24,719,0.033,0.023,0.049
LangChain/LLM frameworks,24,719,0.033,0.023,0.049
TensorFlow/Keras,22,719,0.031,0.02,0.046
Azure Data Factory,22,719,0.031,0.02,0.046
A/B Testing / Experimentation,22,719,0.031,0.02,0.046
Qlik,22,719,0.031,0.02,0.046
Azure Synapse,21,719,0.029,0.019,0.044
DAX/M,21,719,0.029,0.019,0.044
pandas,21,719,0.029,0.019,0.044
SAP HANA,20,719,0.028,0.018,0.043
Kafka,18,719,0.025,0.016,0.039
Scala,18,719,0.025,0.016,0.039
Deep Learning,16,719,0.022,0.014,0.036
Google Analytics,16,719,0.022,0.014,0.036
Anomaly Detection,13,719,0.018,0.011,0.031
NLP,13,719,0.018,0.011,0.031
Airflow,12,719,0.017,0.01,0.029
MongoDB,12,719,0.017,0.01,0.029
Computer Vision,12,719,0.017,0.01,0.029
MySQL/MariaDB,11,719,0.015,0.009,0.027
Looker,11,719,0.015,0.009,0.027
NumPy,11,719,0.015,0.009,0.027
Classification,9,719,0.013,0.007,0.024
Neo4j,8,719,0.011,0.006,0.022
Matomo,8,719,0.011,0.006,0.022
Grafana,8,719,0.011,0.006,0.022
Hadoop,6,719,0.008,0.004,0.018
Sampling/Survey,6,719,0.008,0.004,0.018
Regression,6,719,0.008,0.004,0.018
Hugging Face/Transformers,6,719,0.008,0.004,0.018
VBA,6,719,0.008,0.004,0.018
Causal Inference,5,719,0.007,0.003,0.016
Time Series,5,719,0.007,0.003,0.016
Rust,5,719,0.007,0.003,0.016
Reinforcement Learning,5,719,0.007,0.003,0.016
Julia,4,719,0.006,0.002,0.014
Redshift,4,719,0.006,0.002,0.014
MicroStrategy,4,719,0.006,0.002,0.014
Cassandra,4,719,0.006,0.002,0.014
Hypothesis Testing,4,719,0.006,0.002,0.014
SSRS,3,719,0.004,0.001,0.012
Bayesian,3,719,0.004,0.001,0.012
SAS,3,719,0.004,0.001,0.012
FastAPI/Flask,3,719,0.004,0.001,0.012
Plotly/Dash,3,719,0.004,0.001,0.012
matplotlib/seaborn,3,719,0.004,0.001,0.012
Fivetran/Airbyte,2,719,0.003,0.001,0.01
MATLAB,2,719,0.003,0.001,0.01
Elasticsearch,2,719,0.003,0.001,0.01
Data Mining,2,719,0.003,0.001,0.01
C/C++,2,719,0.003,0.001,0.01
XGBoost/LightGBM,2,719,0.003,0.001,0.01
Metabase,1,719,0.001,0.0,0.008
statsmodels,1,719,0.001,0.0,0.008
Cognos,1,719,0.001,0.0,0.008
Streamlit,1,719,0.001,0.0,0.008
Recommender Systems,1,719,0.001,0.0,0.008
ClickHouse,1,719,0.001,0.0,0.008
