role_family,skill,count,n,share,ci_low,ci_high
bi,Data Visualization,73,85,0.859,0.769,0.917
bi,SQL,44,85,0.518,0.413,0.621
bi,Power BI,43,85,0.506,0.402,0.61
bi,Data Modeling,28,85,0.329,0.239,0.435
bi,AI (generic),26,85,0.306,0.218,0.41
bi,SAP BW/BO,24,85,0.282,0.198,0.386
bi,Cloud (generic),22,85,0.259,0.178,0.361
bi,Excel,17,85,0.2,0.129,0.297
bi,Data Warehouse (generic),15,85,0.176,0.11,0.271
bi,Data Governance/Quality,15,85,0.176,0.11,0.271
bi,ETL/ELT,14,85,0.165,0.101,0.258
bi,Azure,12,85,0.141,0.083,0.231
bi,Python,9,85,0.106,0.057,0.189
bi,Statistics (general),9,85,0.106,0.057,0.189
bi,SQL Server,9,85,0.106,0.057,0.189
bi,DAX/M,9,85,0.106,0.057,0.189
bi,Oracle,9,85,0.106,0.057,0.189
bi,Forecasting,8,85,0.094,0.048,0.175
bi,Qlik,8,85,0.094,0.048,0.175
bi,Databricks,8,85,0.094,0.048,0.175
bi,Generative AI / LLM,7,85,0.082,0.04,0.16
bi,Tableau,7,85,0.082,0.04,0.16
bi,REST APIs,7,85,0.082,0.04,0.16
bi,SAP HANA,7,85,0.082,0.04,0.16
bi,Snowflake,5,85,0.059,0.025,0.13
bi,PostgreSQL,5,85,0.059,0.025,0.13
bi,Mathematics,5,85,0.059,0.025,0.13
bi,Microsoft Fabric,4,85,0.047,0.018,0.115
bi,Machine Learning,4,85,0.047,0.018,0.115
bi,Grafana,3,85,0.035,0.012,0.099
bi,Data Lake/Lakehouse,3,85,0.035,0.012,0.099
bi,Streaming,3,85,0.035,0.012,0.099
bi,Jupyter,3,85,0.035,0.012,0.099
bi,Plotly/Dash,3,85,0.035,0.012,0.099
bi,pandas,3,85,0.035,0.012,0.099
bi,scikit-learn,3,85,0.035,0.012,0.099
bi,Looker,3,85,0.035,0.012,0.099
bi,JavaScript,3,85,0.035,0.012,0.099
bi,Bash/Shell,2,85,0.024,0.006,0.082
bi,SSRS,2,85,0.024,0.006,0.082
bi,Matomo,2,85,0.024,0.006,0.082
bi,Exploratory Analysis,2,85,0.024,0.006,0.082
bi,Predictive Analytics,2,85,0.024,0.006,0.082
bi,Google Analytics,2,85,0.024,0.006,0.082
bi,R,2,85,0.024,0.006,0.082
bi,VBA,1,85,0.012,0.002,0.064
bi,Cognos,1,85,0.012,0.002,0.064
bi,Sampling/Survey,1,85,0.012,0.002,0.064
bi,Git,1,85,0.012,0.002,0.064
bi,BigQuery,1,85,0.012,0.002,0.064
bi,Fivetran/Airbyte,1,85,0.012,0.002,0.064
bi,Segmentation/Clustering,1,85,0.012,0.002,0.064
bi,dbt,1,85,0.012,0.002,0.064
bi,AWS,1,85,0.012,0.002,0.064
bi,Classification,1,85,0.012,0.002,0.064
bi,NLP,1,85,0.012,0.002,0.064
bi,MySQL/MariaDB,1,85,0.012,0.002,0.064
bi,Java,1,85,0.012,0.002,0.064
bi,Elasticsearch,1,85,0.012,0.002,0.064
bi,Terraform/IaC,1,85,0.012,0.002,0.064
business_analysis,AI (generic),29,120,0.242,0.174,0.326
business_analysis,Data Visualization,20,120,0.167,0.111,0.243
business_analysis,Excel,17,120,0.142,0.09,0.215
business_analysis,SQL,16,120,0.133,0.084,0.206
business_analysis,Data Governance/Quality,11,120,0.092,0.052,0.157
business_analysis,REST APIs,8,120,0.067,0.034,0.126
business_analysis,Cloud (generic),7,120,0.058,0.029,0.116
business_analysis,R,7,120,0.058,0.029,0.116
business_analysis,Bash/Shell,6,120,0.05,0.023,0.105
business_analysis,Generative AI / LLM,6,120,0.05,0.023,0.105
business_analysis,C#,5,120,0.042,0.018,0.094
business_analysis,CI/CD,5,120,0.042,0.018,0.094
business_analysis,Mathematics,5,120,0.042,0.018,0.094
business_analysis,Java,5,120,0.042,0.018,0.094
business_analysis,Statistics (general),4,120,0.033,0.013,0.083
business_analysis,SAP HANA,4,120,0.033,0.013,0.083
business_analysis,Python,4,120,0.033,0.013,0.083
business_analysis,Exploratory Analysis,4,120,0.033,0.013,0.083
business_analysis,SAP BW/BO,3,120,0.025,0.009,0.071
business_analysis,Streaming,2,120,0.017,0.005,0.059
business_analysis,Git,2,120,0.017,0.005,0.059
business_analysis,Azure,2,120,0.017,0.005,0.059
business_analysis,Power BI,2,120,0.017,0.005,0.059
business_analysis,Data Warehouse (generic),2,120,0.017,0.005,0.059
business_analysis,PostgreSQL,2,120,0.017,0.005,0.059
business_analysis,Jupyter,2,120,0.017,0.005,0.059
business_analysis,VBA,2,120,0.017,0.005,0.059
business_analysis,GCP,1,120,0.008,0.001,0.046
business_analysis,Tableau,1,120,0.008,0.001,0.046
business_analysis,Oracle,1,120,0.008,0.001,0.046
business_analysis,SQL Server,1,120,0.008,0.001,0.046
business_analysis,Segmentation/Clustering,1,120,0.008,0.001,0.046
business_analysis,JavaScript,1,120,0.008,0.001,0.046
business_analysis,DAX/M,1,120,0.008,0.001,0.046
business_analysis,Data Lake/Lakehouse,1,120,0.008,0.001,0.046
business_analysis,Machine Learning,1,120,0.008,0.001,0.046
business_analysis,Redshift,1,120,0.008,0.001,0.046
business_analysis,AWS,1,120,0.008,0.001,0.046
business_analysis,Docker,1,120,0.008,0.001,0.046
business_analysis,Kubernetes,1,120,0.008,0.001,0.046
business_analysis,MySQL/MariaDB,1,120,0.008,0.001,0.046
business_analysis,MongoDB,1,120,0.008,0.001,0.046
business_analysis,ETL/ELT,1,120,0.008,0.001,0.046
business_analysis,Sampling/Survey,1,120,0.008,0.001,0.046
business_analysis,Data Modeling,1,120,0.008,0.001,0.046
business_analysis,Forecasting,1,120,0.008,0.001,0.046
data_analytics,Data Visualization,69,107,0.645,0.551,0.729
data_analytics,Excel,50,107,0.467,0.376,0.561
data_analytics,SQL,41,107,0.383,0.297,0.478
data_analytics,Power BI,36,107,0.336,0.254,0.43
data_analytics,Data Governance/Quality,30,107,0.28,0.204,0.372
data_analytics,Python,28,107,0.262,0.188,0.352
data_analytics,AI (generic),22,107,0.206,0.14,0.292
data_analytics,Statistics (general),20,107,0.187,0.124,0.271
data_analytics,Forecasting,19,107,0.178,0.117,0.261
data_analytics,Cloud (generic),18,107,0.168,0.109,0.25
data_analytics,Mathematics,17,107,0.159,0.102,0.24
data_analytics,Data Modeling,15,107,0.14,0.087,0.218
data_analytics,Exploratory Analysis,13,107,0.121,0.072,0.197
data_analytics,Segmentation/Clustering,11,107,0.103,0.058,0.175
data_analytics,R,11,107,0.103,0.058,0.175
data_analytics,Machine Learning,9,107,0.084,0.045,0.152
data_analytics,DAX/M,9,107,0.084,0.045,0.152
data_analytics,ETL/ELT,9,107,0.084,0.045,0.152
data_analytics,Azure,8,107,0.075,0.038,0.141
data_analytics,Snowflake,8,107,0.075,0.038,0.141
data_analytics,Databricks,8,107,0.075,0.038,0.141
data_analytics,Qlik,7,107,0.065,0.032,0.129
data_analytics,Predictive Analytics,6,107,0.056,0.026,0.117
data_analytics,Generative AI / LLM,5,107,0.047,0.02,0.105
data_analytics,Tableau,4,107,0.037,0.015,0.092
data_analytics,GCP,3,107,0.028,0.01,0.079
data_analytics,SAP BW/BO,3,107,0.028,0.01,0.079
data_analytics,SAP HANA,3,107,0.028,0.01,0.079
data_analytics,BigQuery,3,107,0.028,0.01,0.079
data_analytics,Julia,2,107,0.019,0.005,0.066
data_analytics,C#,2,107,0.019,0.005,0.066
data_analytics,MLOps,2,107,0.019,0.005,0.066
data_analytics,dbt,2,107,0.019,0.005,0.066
data_analytics,A/B Testing / Experimentation,2,107,0.019,0.005,0.066
data_analytics,MATLAB,2,107,0.019,0.005,0.066
data_analytics,Git,2,107,0.019,0.005,0.066
data_analytics,Causal Inference,2,107,0.019,0.005,0.066
data_analytics,AWS,2,107,0.019,0.005,0.066
data_analytics,Looker,2,107,0.019,0.005,0.066
data_analytics,Google Analytics,1,107,0.009,0.002,0.051
data_analytics,Sampling/Survey,1,107,0.009,0.002,0.051
data_analytics,Jupyter,1,107,0.009,0.002,0.051
data_analytics,VBA,1,107,0.009,0.002,0.051
data_analytics,SQL Server,1,107,0.009,0.002,0.051
data_analytics,Metabase,1,107,0.009,0.002,0.051
data_analytics,pandas,1,107,0.009,0.002,0.051
data_analytics,scikit-learn,1,107,0.009,0.002,0.051
data_analytics,statsmodels,1,107,0.009,0.002,0.051
data_analytics,Streaming,1,107,0.009,0.002,0.051
data_analytics,CI/CD,1,107,0.009,0.002,0.051
data_analytics,Terraform/IaC,1,107,0.009,0.002,0.051
data_analytics,Microsoft Fabric,1,107,0.009,0.002,0.051
data_analytics,Data Lake/Lakehouse,1,107,0.009,0.002,0.051
data_analytics,Data Warehouse (generic),1,107,0.009,0.002,0.051
data_analytics,Oracle,1,107,0.009,0.002,0.051
data_engineering,SQL,110,160,0.688,0.612,0.754
data_engineering,ETL/ELT,96,160,0.6,0.523,0.673
data_engineering,Python,88,160,0.55,0.473,0.625
data_engineering,Cloud (generic),72,160,0.45,0.375,0.527
data_engineering,Data Governance/Quality,71,160,0.444,0.369,0.521
data_engineering,Azure,61,160,0.381,0.31,0.458
data_engineering,Data Modeling,60,160,0.375,0.304,0.452
data_engineering,CI/CD,54,160,0.338,0.269,0.414
data_engineering,Data Visualization,52,160,0.325,0.257,0.401
data_engineering,Databricks,46,160,0.287,0.223,0.362
data_engineering,AI (generic),44,160,0.275,0.212,0.349
data_engineering,Data Warehouse (generic),44,160,0.275,0.212,0.349
data_engineering,Data Lake/Lakehouse,39,160,0.244,0.184,0.316
data_engineering,Power BI,30,160,0.188,0.135,0.255
data_engineering,Microsoft Fabric,29,160,0.181,0.129,0.248
data_engineering,Oracle,28,160,0.175,0.124,0.241
data_engineering,Git,28,160,0.175,0.124,0.241
data_engineering,Spark,28,160,0.175,0.124,0.241
data_engineering,Streaming,23,160,0.144,0.098,0.206
data_engineering,SQL Server,22,160,0.138,0.093,0.199
data_engineering,PostgreSQL,21,160,0.131,0.087,0.192
data_engineering,AWS,21,160,0.131,0.087,0.192
data_engineering,Java,20,160,0.125,0.082,0.185
data_engineering,REST APIs,20,160,0.125,0.082,0.185
data_engineering,GCP,19,160,0.119,0.077,0.178
data_engineering,Azure Data Factory,19,160,0.119,0.077,0.178
data_engineering,Terraform/IaC,19,160,0.119,0.077,0.178
data_engineering,Snowflake,17,160,0.106,0.067,0.164
data_engineering,Azure Synapse,17,160,0.106,0.067,0.164
data_engineering,Bash/Shell,17,160,0.106,0.067,0.164
data_engineering,Machine Learning,15,160,0.094,0.058,0.149
data_engineering,Kafka,14,160,0.087,0.053,0.142
data_engineering,Jupyter,12,160,0.075,0.043,0.127
data_engineering,dbt,12,160,0.075,0.043,0.127
data_engineering,Kubernetes,11,160,0.069,0.039,0.119
data_engineering,C#,11,160,0.069,0.039,0.119
data_engineering,Scala,11,160,0.069,0.039,0.119
data_engineering,Airflow,11,160,0.069,0.039,0.119
data_engineering,Segmentation/Clustering,10,160,0.062,0.034,0.111
data_engineering,BigQuery,10,160,0.062,0.034,0.111
data_engineering,MySQL/MariaDB,9,160,0.056,0.03,0.103
data_engineering,Excel,9,160,0.056,0.03,0.103
