seniority,skill,count,n,share,ci_low,ci_high
intern_student,Data Visualization,24,42,0.571,0.422,0.709
intern_student,Excel,22,42,0.524,0.377,0.666
intern_student,SQL,20,42,0.476,0.334,0.623
intern_student,Power BI,17,42,0.405,0.27,0.555
intern_student,AI (generic),15,42,0.357,0.23,0.508
intern_student,Python,13,42,0.31,0.191,0.46
intern_student,Data Governance/Quality,11,42,0.262,0.153,0.411
intern_student,Statistics (general),9,42,0.214,0.117,0.359
intern_student,Mathematics,7,42,0.167,0.083,0.306
intern_student,Databricks,6,42,0.143,0.067,0.278
intern_student,Generative AI / LLM,6,42,0.143,0.067,0.278
intern_student,R,5,42,0.119,0.052,0.25
intern_student,Machine Learning,5,42,0.119,0.052,0.25
intern_student,Git,4,42,0.095,0.038,0.221
intern_student,Exploratory Analysis,4,42,0.095,0.038,0.221
intern_student,Data Modeling,4,42,0.095,0.038,0.221
intern_student,Segmentation/Clustering,4,42,0.095,0.038,0.221
intern_student,SAP HANA,3,42,0.071,0.025,0.19
intern_student,Qlik,3,42,0.071,0.025,0.19
intern_student,SAP BW/BO,3,42,0.071,0.025,0.19
intern_student,Spark,3,42,0.071,0.025,0.19
intern_student,dbt,3,42,0.071,0.025,0.19
intern_student,Cloud (generic),3,42,0.071,0.025,0.19
intern_student,AWS,3,42,0.071,0.025,0.19
intern_student,Tableau,3,42,0.071,0.025,0.19
intern_student,Snowflake,3,42,0.071,0.025,0.19
intern_student,REST APIs,2,42,0.048,0.013,0.158
intern_student,ETL/ELT,2,42,0.048,0.013,0.158
intern_student,Google Analytics,2,42,0.048,0.013,0.158
intern_student,MATLAB,2,42,0.048,0.013,0.158
intern_student,CI/CD,2,42,0.048,0.013,0.158
intern_student,scikit-learn,2,42,0.048,0.013,0.158
intern_student,pandas,2,42,0.048,0.013,0.158
intern_student,NumPy,2,42,0.048,0.013,0.158
intern_student,MLOps,2,42,0.048,0.013,0.158
intern_student,A/B Testing / Experimentation,2,42,0.048,0.013,0.158
intern_student,Azure,2,42,0.048,0.013,0.158
intern_student,Java,1,42,0.024,0.004,0.123
intern_student,Kubernetes,1,42,0.024,0.004,0.123
intern_student,Kafka,1,42,0.024,0.004,0.123
intern_student,Oracle,1,42,0.024,0.004,0.123
intern_student,MySQL/MariaDB,1,42,0.024,0.004,0.123
intern_student,Streaming,1,42,0.024,0.004,0.123
intern_student,PostgreSQL,1,42,0.024,0.004,0.123
intern_student,VBA,1,42,0.024,0.004,0.123
intern_student,LangChain/LLM frameworks,1,42,0.024,0.004,0.123
intern_student,Fivetran/Airbyte,1,42,0.024,0.004,0.123
intern_student,GCP,1,42,0.024,0.004,0.123
intern_student,BigQuery,1,42,0.024,0.004,0.123
