styria_flag,skill,count,n,share,ci_low,ci_high
Rest of Austria,SQL,264,661,0.399,0.363,0.437
Rest of Austria,Data Visualization,254,661,0.384,0.348,0.422
Rest of Austria,AI (generic),251,661,0.38,0.344,0.417
Rest of Austria,Python,224,661,0.339,0.304,0.376
Rest of Austria,Data Governance/Quality,199,661,0.301,0.267,0.337
Rest of Austria,Cloud (generic),182,661,0.275,0.243,0.311
Rest of Austria,ETL/ELT,139,661,0.21,0.181,0.243
Rest of Austria,Power BI,124,661,0.188,0.16,0.219
Rest of Austria,Excel,121,661,0.183,0.155,0.214
Rest of Austria,Azure,119,661,0.18,0.153,0.211
Rest of Austria,Generative AI / LLM,110,661,0.166,0.14,0.197
Rest of Austria,Machine Learning,110,661,0.166,0.14,0.197
Rest of Austria,Data Modeling,110,661,0.166,0.14,0.197
Rest of Austria,CI/CD,96,661,0.145,0.12,0.174
Rest of Austria,Statistics (general),95,661,0.144,0.119,0.173
Rest of Austria,REST APIs,75,661,0.113,0.091,0.14
Rest of Austria,Databricks,72,661,0.109,0.087,0.135
Rest of Austria,Mathematics,71,661,0.107,0.086,0.133
Rest of Austria,Data Warehouse (generic),62,661,0.094,0.074,0.118
Rest of Austria,Git,60,661,0.091,0.071,0.115
Rest of Austria,AWS,55,661,0.083,0.064,0.107
Rest of Austria,Streaming,48,661,0.073,0.055,0.095
Rest of Austria,R,47,661,0.071,0.054,0.093
Rest of Austria,Data Lake/Lakehouse,47,661,0.071,0.054,0.093
Rest of Austria,Java,46,661,0.07,0.053,0.092
Rest of Austria,Spark,44,661,0.067,0.05,0.088
Rest of Austria,Docker,42,661,0.064,0.047,0.085
Rest of Austria,MLOps,42,661,0.064,0.047,0.085
Rest of Austria,Oracle,39,661,0.059,0.043,0.08
Rest of Austria,Forecasting,39,661,0.059,0.043,0.08
Rest of Austria,Snowflake,39,661,0.059,0.043,0.08
Rest of Austria,Segmentation/Clustering,38,661,0.057,0.042,0.078
Rest of Austria,Kubernetes,38,661,0.057,0.042,0.078
Rest of Austria,SAP BW/BO,35,661,0.053,0.038,0.073
Rest of Austria,Microsoft Fabric,35,661,0.053,0.038,0.073
Rest of Austria,Bash/Shell,33,661,0.05,0.036,0.069
Rest of Austria,C#,32,661,0.048,0.034,0.068
Rest of Austria,SQL Server,32,661,0.048,0.034,0.068
Rest of Austria,GCP,31,661,0.047,0.033,0.066
Rest of Austria,PyTorch,29,661,0.044,0.031,0.062
Rest of Austria,PostgreSQL,29,661,0.044,0.031,0.062
Rest of Austria,JavaScript,28,661,0.042,0.029,0.061
Rest of Austria,Exploratory Analysis,25,661,0.038,0.026,0.055
Rest of Austria,scikit-learn,24,661,0.036,0.025,0.053
Rest of Austria,dbt,24,661,0.036,0.025,0.053
Rest of Austria,LangChain/LLM frameworks,23,661,0.035,0.023,0.052
Rest of Austria,Qlik,22,661,0.033,0.022,0.05
Rest of Austria,Predictive Analytics,22,661,0.033,0.022,0.05
Rest of Austria,BigQuery,22,661,0.033,0.022,0.05
Rest of Austria,A/B Testing / Experimentation,21,661,0.032,0.021,0.048
Rest of Austria,Terraform/IaC,21,661,0.032,0.021,0.048
Rest of Austria,Tableau,21,661,0.032,0.021,0.048
Rest of Austria,Jupyter,20,661,0.03,0.02,0.046
Rest of Austria,pandas,20,661,0.03,0.02,0.046
Rest of Austria,TensorFlow/Keras,19,661,0.029,0.018,0.044
Rest of Austria,DAX/M,19,661,0.029,0.018,0.044
Rest of Austria,SAP HANA,18,661,0.027,0.017,0.043
