role_family,skill,count,n,share,ci_low,ci_high
bi,Power BI,43,85,0.506,0.402,0.61
bi,SAP BW/BO,24,85,0.282,0.198,0.386
bi,Excel,17,85,0.2,0.129,0.297
bi,Qlik,8,85,0.094,0.048,0.175
bi,Tableau,7,85,0.082,0.04,0.16
bi,Grafana,3,85,0.035,0.012,0.099
bi,Looker,3,85,0.035,0.012,0.099
bi,SSRS,2,85,0.024,0.006,0.082
bi,Google Analytics,2,85,0.024,0.006,0.082
bi,Matomo,2,85,0.024,0.006,0.082
bi,Cognos,1,85,0.012,0.002,0.064
business_analysis,Excel,17,120,0.142,0.09,0.215
business_analysis,SAP BW/BO,3,120,0.025,0.009,0.071
business_analysis,Power BI,2,120,0.017,0.005,0.059
business_analysis,Tableau,1,120,0.008,0.001,0.046
data_analytics,Excel,50,107,0.467,0.376,0.561
data_analytics,Power BI,36,107,0.336,0.254,0.43
data_analytics,Qlik,7,107,0.065,0.032,0.129
data_analytics,Tableau,4,107,0.037,0.015,0.092
data_analytics,SAP BW/BO,3,107,0.028,0.01,0.079
data_analytics,Looker,2,107,0.019,0.005,0.066
data_analytics,Google Analytics,1,107,0.009,0.002,0.051
data_analytics,Metabase,1,107,0.009,0.002,0.051
data_engineering,Power BI,30,160,0.188,0.135,0.255
data_engineering,Excel,9,160,0.056,0.03,0.103
data_engineering,SAP BW/BO,4,160,0.025,0.01,0.063
data_engineering,MicroStrategy,4,160,0.025,0.01,0.063
data_engineering,Tableau,3,160,0.019,0.006,0.054
data_engineering,Qlik,3,160,0.019,0.006,0.054
data_engineering,Google Analytics,2,160,0.013,0.003,0.044
data_engineering,Grafana,2,160,0.013,0.003,0.044
data_engineering,SSRS,1,160,0.006,0.001,0.035
data_engineering,Looker,1,160,0.006,0.001,0.035
data_governance,Excel,17,65,0.262,0.17,0.38
data_governance,Power BI,5,65,0.077,0.033,0.168
data_governance,SAP BW/BO,2,65,0.031,0.008,0.105
data_governance,Qlik,1,65,0.015,0.003,0.082
data_governance,Tableau,1,65,0.015,0.003,0.082
data_science,Excel,9,157,0.057,0.03,0.105
data_science,Power BI,8,157,0.051,0.026,0.097
data_science,Tableau,6,157,0.038,0.018,0.081
data_science,Qlik,3,157,0.019,0.007,0.055
data_science,Grafana,3,157,0.019,0.007,0.055
data_science,SAP BW/BO,2,157,0.013,0.004,0.045
data_science,Looker,1,157,0.006,0.001,0.035
marketing_analytics,Google Analytics,11,24,0.458,0.279,0.649
marketing_analytics,Excel,9,24,0.375,0.212,0.573
marketing_analytics,Power BI,8,24,0.333,0.18,0.533
marketing_analytics,Matomo,6,24,0.25,0.12,0.449
marketing_analytics,Looker,4,24,0.167,0.067,0.359
marketing_analytics,Tableau,2,24,0.083,0.023,0.258
