styria_flag,skill,count,n,share,ci_low,ci_high
Rest of Austria,Certification (any mention),88,661,0.133,0.109,0.161
Rest of Austria,Requirements/BA cert (IREB/IIBA/CBAP),20,661,0.03,0.02,0.046
Rest of Austria,Scrum/PM cert,9,661,0.014,0.007,0.026
Rest of Austria,ITIL,6,661,0.009,0.004,0.02
Rest of Austria,Data-management cert (CDMP/DAMA),3,661,0.005,0.002,0.013
Rest of Austria,Azure cert,1,661,0.002,0.0,0.009
Rest of Austria,Google cert,1,661,0.002,0.0,0.009
Styria,Certification (any mention),4,58,0.069,0.027,0.164
Styria,Azure cert,1,58,0.017,0.003,0.091
Styria,ITIL,1,58,0.017,0.003,0.091
Styria,Google cert,1,58,0.017,0.003,0.091
