skill,count,n,share,ci_low,ci_high
Data Governance/Quality,220,719,0.306,0.273,0.341
ETL/ELT,159,719,0.221,0.192,0.253
Data Modeling,118,719,0.164,0.139,0.193
CI/CD,109,719,0.152,0.127,0.18
REST APIs,83,719,0.115,0.094,0.141
Git,71,719,0.099,0.079,0.123
Streaming,51,719,0.071,0.054,0.092
Spark,47,719,0.065,0.05,0.086
MLOps,46,719,0.064,0.048,0.084
Docker,44,719,0.061,0.046,0.081
Kubernetes,40,719,0.056,0.041,0.075
Terraform/IaC,26,719,0.036,0.025,0.052
dbt,25,719,0.035,0.024,0.051
Azure Data Factory,22,719,0.031,0.02,0.046
Kafka,18,719,0.025,0.016,0.039
Airflow,12,719,0.017,0.01,0.029
Fivetran/Airbyte,2,719,0.003,0.001,0.01
