role_family,skill,count,n,share,ci_low,ci_high
bi,SQL,44,85,0.518,0.413,0.621
bi,Python,9,85,0.106,0.057,0.189
bi,DAX/M,9,85,0.106,0.057,0.189
bi,JavaScript,3,85,0.035,0.012,0.099
bi,Bash/Shell,2,85,0.024,0.006,0.082
bi,R,2,85,0.024,0.006,0.082
bi,VBA,1,85,0.012,0.002,0.064
bi,Java,1,85,0.012,0.002,0.064
business_analysis,SQL,16,120,0.133,0.084,0.206
business_analysis,R,7,120,0.058,0.029,0.116
business_analysis,Bash/Shell,6,120,0.05,0.023,0.105
business_analysis,Java,5,120,0.042,0.018,0.094
business_analysis,C#,5,120,0.042,0.018,0.094
business_analysis,Python,4,120,0.033,0.013,0.083
business_analysis,VBA,2,120,0.017,0.005,0.059
business_analysis,DAX/M,1,120,0.008,0.001,0.046
business_analysis,JavaScript,1,120,0.008,0.001,0.046
data_analytics,SQL,41,107,0.383,0.297,0.478
data_analytics,Python,28,107,0.262,0.188,0.352
data_analytics,R,11,107,0.103,0.058,0.175
data_analytics,DAX/M,9,107,0.084,0.045,0.152
data_analytics,Julia,2,107,0.019,0.005,0.066
data_analytics,C#,2,107,0.019,0.005,0.066
data_analytics,MATLAB,2,107,0.019,0.005,0.066
data_analytics,VBA,1,107,0.009,0.002,0.051
data_engineering,SQL,110,160,0.688,0.612,0.754
data_engineering,Python,88,160,0.55,0.473,0.625
data_engineering,Java,20,160,0.125,0.082,0.185
data_engineering,Bash/Shell,17,160,0.106,0.067,0.164
data_engineering,Scala,11,160,0.069,0.039,0.119
data_engineering,C#,11,160,0.069,0.039,0.119
data_engineering,R,5,160,0.031,0.013,0.071
data_engineering,Rust,2,160,0.013,0.003,0.044
data_engineering,DAX/M,2,160,0.013,0.003,0.044
data_engineering,JavaScript,2,160,0.013,0.003,0.044
data_engineering,VBA,1,160,0.006,0.001,0.035
data_governance,SQL,9,65,0.138,0.075,0.243
data_governance,Python,6,65,0.092,0.043,0.187
data_governance,Java,2,65,0.031,0.008,0.105
data_governance,VBA,1,65,0.015,0.003,0.082
data_governance,R,1,65,0.015,0.003,0.082
data_governance,SAS,1,65,0.015,0.003,0.082
data_science,Python,114,157,0.726,0.652,0.79
data_science,SQL,57,157,0.363,0.292,0.441
data_science,R,25,157,0.159,0.11,0.225
data_science,Java,23,157,0.146,0.1,0.21
data_science,JavaScript,19,157,0.121,0.079,0.181
data_science,C#,16,157,0.102,0.064,0.159
data_science,Bash/Shell,10,157,0.064,0.035,0.113
data_science,Scala,7,157,0.045,0.022,0.089
data_science,Rust,3,157,0.019,0.007,0.055
data_science,SAS,2,157,0.013,0.004,0.045
data_science,Julia,2,157,0.013,0.004,0.045
data_science,C/C++,2,157,0.013,0.004,0.045
marketing_analytics,SQL,13,24,0.542,0.351,0.721
marketing_analytics,JavaScript,5,24,0.208,0.092,0.405
marketing_analytics,Python,3,24,0.125,0.043,0.31
product_analytics,Python,1,1,1.0,0.207,1.0
product_analytics,SQL,1,1,1.0,0.207,1.0
