role_family,skill,count,n,share,ci_low,ci_high
bi,pandas,3,85,0.035,0.012,0.099
bi,scikit-learn,3,85,0.035,0.012,0.099
bi,Plotly/Dash,3,85,0.035,0.012,0.099
bi,Jupyter,3,85,0.035,0.012,0.099
business_analysis,Jupyter,2,120,0.017,0.005,0.059
data_analytics,Jupyter,1,107,0.009,0.002,0.051
data_analytics,pandas,1,107,0.009,0.002,0.051
data_analytics,scikit-learn,1,107,0.009,0.002,0.051
data_analytics,statsmodels,1,107,0.009,0.002,0.051
data_engineering,Jupyter,12,160,0.075,0.043,0.127
data_engineering,pandas,4,160,0.025,0.01,0.063
data_engineering,LangChain/LLM frameworks,3,160,0.019,0.006,0.054
data_engineering,NumPy,2,160,0.013,0.003,0.044
data_engineering,scikit-learn,1,160,0.006,0.001,0.035
data_engineering,FastAPI/Flask,1,160,0.006,0.001,0.035
data_science,PyTorch,32,157,0.204,0.148,0.274
data_science,TensorFlow/Keras,22,157,0.14,0.094,0.203
data_science,LangChain/LLM frameworks,21,157,0.134,0.089,0.196
data_science,scikit-learn,20,157,0.127,0.084,0.189
data_science,pandas,13,157,0.083,0.049,0.137
data_science,Jupyter,11,157,0.07,0.04,0.121
data_science,NumPy,9,157,0.057,0.03,0.105
data_science,Hugging Face/Transformers,6,157,0.038,0.018,0.081
data_science,matplotlib/seaborn,3,157,0.019,0.007,0.055
data_science,XGBoost/LightGBM,2,157,0.013,0.004,0.045
data_science,FastAPI/Flask,2,157,0.013,0.004,0.045
data_science,Streamlit,1,157,0.006,0.001,0.035
