skill,count,n,share,ci_low,ci_high
Teamwork,474,719,0.659,0.624,0.693
Self-organisation,456,719,0.634,0.598,0.669
Communication,453,719,0.63,0.594,0.665
Analytical Thinking,396,719,0.551,0.514,0.587
Stakeholder Management,392,719,0.545,0.509,0.581
Curiosity/Learning,328,719,0.456,0.42,0.493
Leadership,106,719,0.147,0.123,0.175
Attention to Detail,68,719,0.095,0.075,0.118
Customer Orientation,55,719,0.076,0.059,0.098
Flexibility/Resilience,42,719,0.058,0.044,0.078
Business Acumen,33,719,0.046,0.033,0.064
