styria_flag,skill,count,n,share,ci_low,ci_high
Rest of Austria,Teamwork,429,661,0.649,0.612,0.684
Rest of Austria,Self-organisation,421,661,0.637,0.6,0.673
Rest of Austria,Communication,419,661,0.634,0.596,0.67
Rest of Austria,Stakeholder Management,369,661,0.558,0.52,0.596
Rest of Austria,Analytical Thinking,369,661,0.558,0.52,0.596
Rest of Austria,Curiosity/Learning,301,661,0.455,0.418,0.493
Rest of Austria,Leadership,100,661,0.151,0.126,0.181
Rest of Austria,Attention to Detail,64,661,0.097,0.077,0.122
Rest of Austria,Customer Orientation,53,661,0.08,0.062,0.103
Rest of Austria,Flexibility/Resilience,39,661,0.059,0.043,0.08
Rest of Austria,Business Acumen,32,661,0.048,0.034,0.068
Styria,Teamwork,45,58,0.776,0.653,0.864
Styria,Self-organisation,35,58,0.603,0.475,0.719
Styria,Communication,34,58,0.586,0.458,0.704
Styria,Analytical Thinking,27,58,0.466,0.343,0.592
Styria,Curiosity/Learning,27,58,0.466,0.343,0.592
Styria,Stakeholder Management,23,58,0.397,0.281,0.525
Styria,Leadership,6,58,0.103,0.048,0.208
Styria,Attention to Detail,4,58,0.069,0.027,0.164
Styria,Flexibility/Resilience,3,58,0.052,0.018,0.141
Styria,Customer Orientation,2,58,0.034,0.01,0.117
Styria,Business Acumen,1,58,0.017,0.003,0.091
