skill,count,n,share,ci_low,ci_high
Data Visualization,274,719,0.381,0.346,0.417
Statistics (general),98,719,0.136,0.113,0.163
Mathematics,77,719,0.107,0.087,0.132
Segmentation/Clustering,40,719,0.056,0.041,0.075
Exploratory Analysis,30,719,0.042,0.029,0.059
A/B Testing / Experimentation,22,719,0.031,0.02,0.046
Classification,9,719,0.013,0.007,0.024
Sampling/Survey,6,719,0.008,0.004,0.018
Regression,6,719,0.008,0.004,0.018
Causal Inference,5,719,0.007,0.003,0.016
Hypothesis Testing,4,719,0.006,0.002,0.014
Bayesian,3,719,0.004,0.001,0.012
Data Mining,2,719,0.003,0.001,0.01
