styria_flag,skill,count,n,share,ci_low,ci_high
Rest of Austria,Home office / remote mention,434,661,0.657,0.62,0.692
Rest of Austria,Full-time,431,661,0.652,0.615,0.687
Rest of Austria,Flexible hours,380,661,0.575,0.537,0.612
Rest of Austria,Part-time,56,661,0.085,0.066,0.108
Rest of Austria,Internship/Student,51,661,0.077,0.059,0.1
Styria,Full-time,42,58,0.724,0.598,0.822
Styria,Home office / remote mention,37,58,0.638,0.509,0.749
Styria,Flexible hours,26,58,0.448,0.327,0.575
Styria,Internship/Student,11,58,0.19,0.109,0.309
Styria,Part-time,2,58,0.034,0.01,0.117
