skill_a,skill_b,both,n,share_of_postings,p_b_given_a,p_a_given_b,jaccard,lift
SQL,Python,171,719,0.238,0.588,0.676,0.458,1.67
SQL,Data Visualization,148,719,0.206,0.509,0.54,0.355,1.33
AI (generic),Python,135,719,0.188,0.489,0.534,0.343,1.39
AI (generic),Cloud (generic),127,719,0.177,0.46,0.617,0.358,1.61
Python,Cloud (generic),121,719,0.168,0.478,0.587,0.358,1.67
SQL,ETL/ELT,117,719,0.163,0.402,0.736,0.351,1.82
Data Visualization,Power BI,115,719,0.16,0.42,0.871,0.395,2.29
AI (generic),Generative AI / LLM,114,719,0.159,0.413,0.974,0.409,2.54
SQL,Cloud (generic),111,719,0.154,0.381,0.539,0.288,1.33
Python,ETL/ELT,103,719,0.143,0.407,0.648,0.333,1.84
SQL,AI (generic),102,719,0.142,0.351,0.37,0.219,0.91
Python,Azure,100,719,0.139,0.395,0.719,0.342,2.04
Data Visualization,Data Governance/Quality,100,719,0.139,0.365,0.455,0.254,1.19
AI (generic),Machine Learning,99,719,0.138,0.359,0.839,0.336,2.19
Cloud (generic),Azure,98,719,0.136,0.476,0.705,0.397,2.46
SQL,Data Governance/Quality,97,719,0.135,0.333,0.441,0.234,1.09
Python,Machine Learning,93,719,0.129,0.368,0.788,0.335,2.24
AI (generic),Data Visualization,90,719,0.125,0.326,0.328,0.196,0.86
Data Governance/Quality,ETL/ELT,90,719,0.125,0.409,0.566,0.311,1.85
AI (generic),Data Governance/Quality,90,719,0.125,0.326,0.409,0.222,1.07
Python,CI/CD,89,719,0.124,0.352,0.817,0.326,2.32
Cloud (generic),ETL/ELT,85,719,0.118,0.413,0.535,0.304,1.87
Python,Data Governance/Quality,84,719,0.117,0.332,0.382,0.216,1.09
SQL,Power BI,84,719,0.117,0.289,0.636,0.248,1.57
SQL,Azure,84,719,0.117,0.289,0.604,0.243,1.49
AI (generic),Azure,84,719,0.117,0.304,0.604,0.254,1.57
SQL,Data Modeling,84,719,0.117,0.289,0.712,0.258,1.76
Data Visualization,Python,83,719,0.115,0.303,0.328,0.187,0.86
Python,Generative AI / LLM,80,719,0.111,0.316,0.684,0.276,1.94
Cloud (generic),CI/CD,74,719,0.103,0.359,0.679,0.307,2.37
AI (generic),ETL/ELT,73,719,0.102,0.264,0.459,0.202,1.2
Data Visualization,Cloud (generic),72,719,0.1,0.263,0.35,0.176,0.92
Data Visualization,ETL/ELT,72,719,0.1,0.263,0.453,0.199,1.19
Data Visualization,Excel,71,719,0.099,0.259,0.555,0.215,1.46
Data Visualization,Data Modeling,70,719,0.097,0.255,0.593,0.217,1.56
Data Governance/Quality,Cloud (generic),69,719,0.096,0.314,0.335,0.193,1.09
ETL/ELT,Azure,68,719,0.095,0.428,0.489,0.296,2.21
Data Governance/Quality,Data Modeling,67,719,0.093,0.305,0.568,0.247,1.86
ETL/ELT,Data Modeling,66,719,0.092,0.415,0.559,0.313,2.53
AI (generic),CI/CD,66,719,0.092,0.239,0.606,0.207,1.58
SQL,Statistics (general),66,719,0.092,0.227,0.673,0.204,1.66
Python,Git,66,719,0.092,0.261,0.93,0.256,2.64
Azure,Databricks,66,719,0.092,0.475,0.795,0.423,4.11
Cloud (generic),Machine Learning,66,719,0.092,0.32,0.559,0.256,1.95
Python,Statistics (general),64,719,0.089,0.253,0.653,0.223,1.86
Cloud (generic),Generative AI / LLM,63,719,0.088,0.306,0.538,0.242,1.88
Python,REST APIs,62,719,0.086,0.245,0.747,0.226,2.12
Azure,CI/CD,60,719,0.083,0.432,0.55,0.319,2.85
Cloud (generic),AWS,59,719,0.082,0.286,0.952,0.282,3.32
Python,Databricks,58,719,0.081,0.229,0.699,0.209,1.99
Python,Data Modeling,58,719,0.081,0.229,0.492,0.185,1.4
AI (generic),REST APIs,58,719,0.081,0.21,0.699,0.193,1.82
Machine Learning,Generative AI / LLM,58,719,0.081,0.492,0.496,0.328,3.02
SQL,Databricks,56,719,0.078,0.192,0.675,0.176,1.67
Power BI,Data Modeling,56,719,0.078,0.424,0.475,0.289,2.59
Cloud (generic),Databricks,55,719,0.076,0.267,0.663,0.235,2.31
SQL,Data Warehouse (generic),55,719,0.076,0.189,0.764,0.179,1.89
Data Governance/Quality,Azure,55,719,0.076,0.25,0.396,0.181,1.29
Data Governance/Quality,Power BI,55,719,0.076,0.25,0.417,0.185,1.36
SQL,CI/CD,54,719,0.075,0.186,0.495,0.156,1.22
ETL/ELT,CI/CD,53,719,0.074,0.333,0.486,0.247,2.2
Data Visualization,Statistics (general),52,719,0.072,0.19,0.531,0.163,1.39
SQL,Machine Learning,52,719,0.072,0.179,0.441,0.146,1.09
Cloud (generic),Data Modeling,52,719,0.072,0.252,0.441,0.191,1.54
Statistics (general),Mathematics,51,719,0.071,0.52,0.662,0.411,4.86
Python,Mathematics,50,719,0.07,0.198,0.649,0.179,1.85
Azure,Data Modeling,50,719,0.07,0.36,0.424,0.242,2.19
SQL,Generative AI / LLM,49,719,0.068,0.168,0.419,0.136,1.03
Python,AWS,49,719,0.068,0.194,0.79,0.184,2.25
Data Visualization,Azure,47,719,0.065,0.172,0.338,0.128,0.89
Machine Learning,CI/CD,47,719,0.065,0.398,0.431,0.261,2.63
SQL,Mathematics,47,719,0.065,0.162,0.61,0.146,1.51
Azure,Generative AI / LLM,47,719,0.065,0.338,0.402,0.225,2.08
Generative AI / LLM,REST APIs,45,719,0.063,0.385,0.542,0.29,3.33
AI (generic),Data Modeling,45,719,0.063,0.163,0.381,0.129,0.99
Data Governance/Quality,Excel,45,719,0.063,0.205,0.352,0.149,1.15
SQL,Excel,45,719,0.063,0.155,0.352,0.12,0.87
SQL,Git,45,719,0.063,0.155,0.634,0.142,1.57
Azure,Machine Learning,44,719,0.061,0.317,0.373,0.207,1.93
SQL,REST APIs,44,719,0.061,0.151,0.53,0.133,1.31
AI (generic),Databricks,43,719,0.06,0.156,0.518,0.136,1.35
Python,Spark,43,719,0.06,0.17,0.915,0.167,2.6
CI/CD,Git,43,719,0.06,0.394,0.606,0.314,3.99
