remote_type,german_requirement,count,n,share,ci_low,ci_high
hybrid,not_mentioned,77,197,0.391,0.325,0.46
hybrid,required_implied,69,197,0.35,0.287,0.419
hybrid,required,23,197,0.117,0.079,0.169
hybrid,preferred,19,197,0.096,0.063,0.146
hybrid,mentioned,8,197,0.041,0.021,0.078
hybrid,explicitly_not_required,1,197,0.005,0.001,0.028
hybrid_or_flexible,not_mentioned,68,184,0.37,0.303,0.441
hybrid_or_flexible,required_implied,62,184,0.337,0.273,0.408
hybrid_or_flexible,preferred,22,184,0.12,0.08,0.174
hybrid_or_flexible,mentioned,18,184,0.098,0.063,0.149
hybrid_or_flexible,required,14,184,0.076,0.046,0.124
on_site,not_mentioned,24,39,0.615,0.459,0.751
on_site,required,6,39,0.154,0.072,0.297
on_site,required_implied,5,39,0.128,0.056,0.267
on_site,preferred,3,39,0.077,0.027,0.203
on_site,mentioned,1,39,0.026,0.005,0.132
remote,not_mentioned,7,14,0.5,0.268,0.732
remote,required_implied,2,14,0.143,0.04,0.399
remote,preferred,2,14,0.143,0.04,0.399
remote,mentioned,1,14,0.071,0.013,0.315
remote,explicitly_not_required,1,14,0.071,0.013,0.315
remote,required,1,14,0.071,0.013,0.315
unknown,not_mentioned,122,285,0.428,0.372,0.486
unknown,required_implied,86,285,0.302,0.251,0.357
unknown,preferred,42,285,0.147,0.111,0.193
unknown,required,17,285,0.06,0.038,0.093
unknown,mentioned,14,285,0.049,0.029,0.081
unknown,german_or_english,4,285,0.014,0.005,0.036
