role_family,german_requirement,count,n,share,ci_low,ci_high
bi,required_implied,39,85,0.459,0.357,0.564
bi,not_mentioned,23,85,0.271,0.188,0.373
bi,preferred,13,85,0.153,0.092,0.244
bi,mentioned,5,85,0.059,0.025,0.13
bi,required,4,85,0.047,0.018,0.115
bi,german_or_english,1,85,0.012,0.002,0.064
business_analysis,not_mentioned,44,120,0.367,0.286,0.456
business_analysis,required_implied,38,120,0.317,0.24,0.404
business_analysis,required,15,120,0.125,0.077,0.196
business_analysis,preferred,12,120,0.1,0.058,0.167
business_analysis,mentioned,11,120,0.092,0.052,0.157
data_analytics,not_mentioned,46,107,0.43,0.34,0.525
data_analytics,required_implied,35,107,0.327,0.246,0.421
data_analytics,preferred,11,107,0.103,0.058,0.175
data_analytics,required,10,107,0.093,0.052,0.164
data_analytics,german_or_english,3,107,0.028,0.01,0.079
data_analytics,mentioned,1,107,0.009,0.002,0.051
data_analytics,explicitly_not_required,1,107,0.009,0.002,0.051
data_engineering,not_mentioned,82,160,0.512,0.436,0.589
data_engineering,required_implied,45,160,0.281,0.217,0.355
data_engineering,preferred,14,160,0.087,0.053,0.142
data_engineering,required,13,160,0.081,0.048,0.134
data_engineering,mentioned,5,160,0.031,0.013,0.071
data_engineering,explicitly_not_required,1,160,0.006,0.001,0.035
data_governance,not_mentioned,34,65,0.523,0.404,0.64
data_governance,required_implied,22,65,0.338,0.235,0.46
data_governance,preferred,4,65,0.062,0.024,0.148
data_governance,required,4,65,0.062,0.024,0.148
data_governance,mentioned,1,65,0.015,0.003,0.082
data_science,not_mentioned,57,157,0.363,0.292,0.441
data_science,required_implied,39,157,0.248,0.187,0.321
data_science,preferred,30,157,0.191,0.137,0.26
data_science,mentioned,18,157,0.115,0.074,0.174
data_science,required,13,157,0.083,0.049,0.137
marketing_analytics,not_mentioned,12,24,0.5,0.314,0.686
marketing_analytics,required_implied,6,24,0.25,0.12,0.449
marketing_analytics,preferred,4,24,0.167,0.067,0.359
marketing_analytics,required,2,24,0.083,0.023,0.258
product_analytics,mentioned,1,1,1.0,0.207,1.0
