source,german_requirement,count,n,share,ci_low,ci_high
eures,not_mentioned,93,202,0.46,0.393,0.529
eures,required_implied,56,202,0.277,0.22,0.343
eures,preferred,23,202,0.114,0.077,0.165
eures,mentioned,20,202,0.099,0.065,0.148
eures,required,8,202,0.04,0.02,0.076
eures,german_or_english,2,202,0.01,0.003,0.035
jobsat,not_mentioned,21,58,0.362,0.251,0.491
jobsat,required_implied,20,58,0.345,0.236,0.473
jobsat,preferred,9,58,0.155,0.084,0.269
jobsat,required,7,58,0.121,0.06,0.229
jobsat,mentioned,1,58,0.017,0.003,0.091
karriere,not_mentioned,50,134,0.373,0.296,0.457
karriere,required_implied,50,134,0.373,0.296,0.457
karriere,required,16,134,0.119,0.075,0.185
karriere,preferred,13,134,0.097,0.058,0.159
karriere,mentioned,4,134,0.03,0.012,0.074
karriere,german_or_english,1,134,0.007,0.001,0.041
linkedin,not_mentioned,126,299,0.421,0.367,0.478
linkedin,required_implied,84,299,0.281,0.233,0.334
linkedin,preferred,40,299,0.134,0.1,0.177
linkedin,required,29,299,0.097,0.068,0.136
linkedin,mentioned,17,299,0.057,0.036,0.089
linkedin,explicitly_not_required,2,299,0.007,0.002,0.024
linkedin,german_or_english,1,299,0.003,0.001,0.019
willhaben,required_implied,14,26,0.538,0.355,0.712
willhaben,not_mentioned,8,26,0.308,0.165,0.5
willhaben,preferred,3,26,0.115,0.04,0.29
willhaben,required,1,26,0.038,0.007,0.189
