state,german_requirement,count,n,share,ci_low,ci_high
Kärnten,not_mentioned,9,22,0.409,0.233,0.613
Kärnten,preferred,4,22,0.182,0.073,0.385
Kärnten,required_implied,4,22,0.182,0.073,0.385
Kärnten,german_or_english,3,22,0.136,0.047,0.333
Kärnten,mentioned,1,22,0.045,0.008,0.218
Kärnten,required,1,22,0.045,0.008,0.218
Niederösterreich,not_mentioned,16,44,0.364,0.238,0.511
Niederösterreich,required_implied,15,44,0.341,0.219,0.489
Niederösterreich,preferred,7,44,0.159,0.079,0.294
Niederösterreich,required,5,44,0.114,0.05,0.24
Niederösterreich,mentioned,1,44,0.023,0.004,0.118
Oberösterreich,not_mentioned,57,122,0.467,0.381,0.555
Oberösterreich,required_implied,39,122,0.32,0.244,0.407
Oberösterreich,preferred,12,122,0.098,0.057,0.164
Oberösterreich,mentioned,11,122,0.09,0.051,0.154
Oberösterreich,required,3,122,0.025,0.008,0.07
Salzburg,not_mentioned,17,37,0.459,0.31,0.616
Salzburg,required_implied,7,37,0.189,0.095,0.342
Salzburg,preferred,7,37,0.189,0.095,0.342
Salzburg,required,4,37,0.108,0.043,0.247
Salzburg,mentioned,2,37,0.054,0.015,0.177
Steiermark,required_implied,22,54,0.407,0.287,0.54
Steiermark,not_mentioned,21,54,0.389,0.27,0.522
Steiermark,preferred,6,54,0.111,0.052,0.222
Steiermark,required,3,54,0.056,0.019,0.151
Steiermark,mentioned,2,54,0.037,0.01,0.125
Tirol,required_implied,10,30,0.333,0.192,0.512
Tirol,not_mentioned,10,30,0.333,0.192,0.512
Tirol,required,5,30,0.167,0.073,0.336
Tirol,mentioned,4,30,0.133,0.053,0.297
Tirol,preferred,1,30,0.033,0.006,0.167
Vorarlberg,not_mentioned,19,46,0.413,0.283,0.557
Vorarlberg,required_implied,14,46,0.304,0.191,0.448
Vorarlberg,preferred,8,46,0.174,0.091,0.307
Vorarlberg,required,5,46,0.109,0.047,0.23
Wien,not_mentioned,138,342,0.404,0.353,0.456
Wien,required_implied,107,342,0.313,0.266,0.364
Wien,preferred,40,342,0.117,0.087,0.155
Wien,required,35,342,0.102,0.075,0.139
Wien,mentioned,20,342,0.058,0.038,0.089
Wien,german_or_english,1,342,0.003,0.001,0.016
Wien,explicitly_not_required,1,342,0.003,0.001,0.016
