role_family,german_level_bucket,count,n,share,ci_low,ci_high
bi,C1/fluent,40,85,0.471,0.368,0.576
bi,B2/good,13,85,0.153,0.092,0.244
bi,C2/native,2,85,0.024,0.006,0.082
business_analysis,C1/fluent,50,120,0.417,0.332,0.506
business_analysis,B2/good,7,120,0.058,0.029,0.116
business_analysis,C2/native,3,120,0.025,0.009,0.071
business_analysis,A1-A2,1,120,0.008,0.001,0.046
data_analytics,C1/fluent,36,107,0.336,0.254,0.43
data_analytics,B2/good,17,107,0.159,0.102,0.24
data_analytics,C2/native,2,107,0.019,0.005,0.066
data_engineering,C1/fluent,49,160,0.306,0.24,0.382
data_engineering,B2/good,18,160,0.113,0.072,0.171
data_engineering,B1,2,160,0.013,0.003,0.044
data_governance,C1/fluent,23,65,0.354,0.249,0.475
data_governance,B2/good,5,65,0.077,0.033,0.168
data_governance,B1,1,65,0.015,0.003,0.082
data_governance,C2/native,1,65,0.015,0.003,0.082
data_science,C1/fluent,56,157,0.357,0.286,0.434
data_science,B2/good,21,157,0.134,0.089,0.196
data_science,B1,1,157,0.006,0.001,0.035
data_science,A1-A2,1,157,0.006,0.001,0.035
data_science,C2/native,1,157,0.006,0.001,0.035
marketing_analytics,C1/fluent,7,24,0.292,0.149,0.492
marketing_analytics,B2/good,5,24,0.208,0.092,0.405
