role_family,posting_language,count,n,share,ci_low,ci_high
bi,de,78,85,0.918,0.84,0.96
bi,en,7,85,0.082,0.04,0.16
business_analysis,de,99,120,0.825,0.747,0.883
business_analysis,en,20,120,0.167,0.111,0.243
business_analysis,mixed,1,120,0.008,0.001,0.046
data_analytics,de,81,107,0.757,0.668,0.828
data_analytics,en,25,107,0.234,0.164,0.322
data_analytics,mixed,1,107,0.009,0.002,0.051
data_engineering,de,124,160,0.775,0.704,0.833
data_engineering,en,35,160,0.219,0.162,0.289
data_engineering,mixed,1,160,0.006,0.001,0.035
data_governance,de,52,65,0.8,0.687,0.879
data_governance,en,13,65,0.2,0.121,0.313
data_science,de,88,157,0.561,0.482,0.636
data_science,en,69,157,0.439,0.364,0.518
marketing_analytics,de,20,24,0.833,0.641,0.933
marketing_analytics,en,4,24,0.167,0.067,0.359
product_analytics,en,1,1,1.0,0.207,1.0
