role_family,seniority,count,n,share,ci_low,ci_high
bi,unspecified,48,85,0.565,0.459,0.665
bi,senior,20,85,0.235,0.158,0.336
bi,lead_head,6,85,0.071,0.033,0.146
bi,intern_student,6,85,0.071,0.033,0.146
bi,trainee_junior,5,85,0.059,0.025,0.13
business_analysis,unspecified,83,120,0.692,0.604,0.767
business_analysis,lead_head,19,120,0.158,0.104,0.234
business_analysis,senior,12,120,0.1,0.058,0.167
business_analysis,intern_student,4,120,0.033,0.013,0.083
business_analysis,trainee_junior,2,120,0.017,0.005,0.059
data_analytics,unspecified,63,107,0.589,0.494,0.677
data_analytics,intern_student,14,107,0.131,0.08,0.208
data_analytics,senior,14,107,0.131,0.08,0.208
data_analytics,lead_head,11,107,0.103,0.058,0.175
data_analytics,trainee_junior,5,107,0.047,0.02,0.105
data_engineering,unspecified,92,160,0.575,0.498,0.649
data_engineering,senior,46,160,0.287,0.223,0.362
data_engineering,lead_head,15,160,0.094,0.058,0.149
data_engineering,trainee_junior,6,160,0.037,0.017,0.079
data_engineering,intern_student,1,160,0.006,0.001,0.035
data_governance,unspecified,33,65,0.508,0.389,0.625
data_governance,lead_head,20,65,0.308,0.209,0.428
data_governance,intern_student,6,65,0.092,0.043,0.187
data_governance,senior,4,65,0.062,0.024,0.148
data_governance,trainee_junior,2,65,0.031,0.008,0.105
data_science,unspecified,85,158,0.538,0.46,0.614
data_science,senior,35,158,0.222,0.164,0.292
data_science,lead_head,24,158,0.152,0.104,0.216
data_science,intern_student,8,158,0.051,0.026,0.097
data_science,trainee_junior,6,158,0.038,0.018,0.08
marketing_analytics,unspecified,9,24,0.375,0.212,0.573
marketing_analytics,trainee_junior,5,24,0.208,0.092,0.405
marketing_analytics,senior,5,24,0.208,0.092,0.405
marketing_analytics,intern_student,3,24,0.125,0.043,0.31
marketing_analytics,lead_head,2,24,0.083,0.023,0.258
product_analytics,unspecified,1,1,1.0,0.207,1.0
