role_family,seniority,n,min_p25,min_median,min_p75,max_median,n_with_max,mean_min
bi,intern_student,6.0,31010.0,35482.0,37026.0,30292.0,2.0,33204.0
bi,lead_head,5.0,60000.0,74200.0,74200.0,,0.0,60676.0
bi,senior,14.0,56500.0,60000.0,68500.0,82500.0,2.0,62066.0
bi,trainee_junior,4.0,35018.0,37745.0,41012.0,50000.0,1.0,38284.0
bi,unspecified,38.0,43748.0,48416.0,56750.0,58500.0,10.0,50133.0
business_analysis,intern_student,4.0,33068.0,33068.0,38551.0,,0.0,38551.0
business_analysis,lead_head,12.0,52780.0,55500.0,64666.0,,0.0,56868.0
business_analysis,senior,10.0,54102.0,57678.0,63000.0,70500.0,2.0,56866.0
business_analysis,trainee_junior,2.0,48313.0,50888.0,53464.0,63049.0,1.0,50888.0
business_analysis,unspecified,65.0,45738.0,53900.0,56100.0,55307.0,9.0,51461.0
data_analytics,intern_student,10.0,30950.0,35868.0,40590.0,43054.0,2.0,35156.0
data_analytics,lead_head,9.0,60000.0,61600.0,70000.0,104400.0,1.0,63833.0
data_analytics,senior,12.0,46358.0,50000.0,54269.0,65000.0,3.0,49402.0
data_analytics,trainee_junior,4.0,35147.0,38920.0,43400.0,,0.0,39627.0
data_analytics,unspecified,48.0,44614.0,48405.0,55917.0,62985.0,10.0,49270.0
data_engineering,intern_student,1.0,65000.0,65000.0,65000.0,,0.0,65000.0
data_engineering,lead_head,14.0,54751.0,58798.0,73675.0,76216.0,1.0,60832.0
data_engineering,senior,34.0,57400.0,60000.0,64166.0,70000.0,3.0,58527.0
data_engineering,trainee_junior,2.0,46190.0,46642.0,47095.0,54390.0,1.0,46642.0
data_engineering,unspecified,81.0,47547.0,53200.0,56000.0,65000.0,19.0,53222.0
data_governance,intern_student,6.0,32647.0,36676.0,37994.0,56280.0,1.0,36854.0
data_governance,lead_head,14.0,46602.0,51158.0,79670.0,64400.0,1.0,59960.0
data_governance,senior,3.0,61250.0,61600.0,70800.0,75600.0,2.0,67500.0
data_governance,trainee_junior,2.0,39232.0,40709.0,42186.0,,0.0,40709.0
data_governance,unspecified,25.0,36470.0,41270.0,53241.0,50106.0,4.0,43260.0
data_science,intern_student,8.0,34391.0,36320.0,41257.0,,0.0,39624.0
data_science,lead_head,13.0,53241.0,75000.0,79000.0,95000.0,7.0,69153.0
data_science,senior,28.0,57850.0,64000.0,70000.0,79800.0,7.0,62655.0
data_science,trainee_junior,3.0,43134.0,53200.0,54992.0,,0.0,47684.0
data_science,unspecified,70.0,45999.0,54439.0,60800.0,65226.0,17.0,53798.0
marketing_analytics,intern_student,3.0,25200.0,25200.0,29574.0,,0.0,28116.0
marketing_analytics,lead_head,1.0,35486.0,35486.0,35486.0,70280.0,1.0,35486.0
marketing_analytics,senior,4.0,41300.0,51000.0,60000.0,75000.0,2.0,50300.0
marketing_analytics,trainee_junior,5.0,35000.0,42000.0,42000.0,,0.0,38814.0
marketing_analytics,unspecified,8.0,44893.0,52500.0,60000.0,,0.0,53173.0
product_analytics,unspecified,1.0,63000.0,63000.0,63000.0,,0.0,63000.0
