skill,n,min_median,min_p25,min_p75
SQL,240,53851.0,45000.0,61000.0
AI (generic),207,55356.0,46239.0,65000.0
Data Visualization,220,49852.0,41825.0,60000.0
Python,203,55356.0,45738.0,63000.0
Data Governance/Quality,175,51380.0,43664.0,60542.0
Cloud (generic),165,58000.0,50000.0,64000.0
ETL/ELT,135,55356.0,47810.0,61485.0
Azure,114,57400.0,50098.0,65000.0
Power BI,109,49000.0,38473.0,60000.0
Excel,107,43664.0,36029.0,52010.0
Data Modeling,99,55356.0,48405.0,60965.0
Machine Learning,86,57392.0,50534.0,64500.0
Generative AI / LLM,95,60000.0,49581.0,68106.0
CI/CD,86,55356.0,52163.0,63000.0
Statistics (general),81,52220.0,43466.0,58954.0
Databricks,68,60000.0,52934.0,68500.0
REST APIs,61,55356.0,45000.0,61000.0
Mathematics,61,52220.0,42137.0,56000.0
Data Warehouse (generic),63,58800.0,47926.0,65000.0
Git,58,55356.0,49000.0,61750.0
AWS,47,56000.0,50568.0,62500.0
R,44,52220.0,41791.0,60000.0
Streaming,36,55356.0,45738.0,62638.0
Data Lake/Lakehouse,42,60000.0,52136.0,68000.0
Java,43,57400.0,52982.0,62000.0
