role_family,remote_type,count,n,share,ci_low,ci_high
bi,unknown,36,85,0.424,0.324,0.53
bi,hybrid_or_flexible,25,85,0.294,0.208,0.398
bi,hybrid,20,85,0.235,0.158,0.336
bi,on_site,3,85,0.035,0.012,0.099
bi,remote,1,85,0.012,0.002,0.064
business_analysis,unknown,47,120,0.392,0.309,0.481
business_analysis,hybrid,31,120,0.258,0.188,0.343
business_analysis,hybrid_or_flexible,30,120,0.25,0.181,0.334
business_analysis,on_site,10,120,0.083,0.046,0.147
business_analysis,remote,2,120,0.017,0.005,0.059
data_analytics,unknown,56,107,0.523,0.43,0.616
data_analytics,hybrid,23,107,0.215,0.148,0.302
data_analytics,hybrid_or_flexible,22,107,0.206,0.14,0.292
data_analytics,on_site,4,107,0.037,0.015,0.092
data_analytics,remote,2,107,0.019,0.005,0.066
data_engineering,unknown,54,160,0.338,0.269,0.414
data_engineering,hybrid,52,160,0.325,0.257,0.401
data_engineering,hybrid_or_flexible,48,160,0.3,0.234,0.375
data_engineering,on_site,3,160,0.019,0.006,0.054
data_engineering,remote,3,160,0.019,0.006,0.054
data_governance,unknown,29,65,0.446,0.332,0.567
data_governance,hybrid,13,65,0.2,0.121,0.313
data_governance,on_site,11,65,0.169,0.097,0.278
data_governance,hybrid_or_flexible,11,65,0.169,0.097,0.278
data_governance,remote,1,65,0.015,0.003,0.082
data_science,unknown,60,157,0.382,0.31,0.46
data_science,hybrid,47,157,0.299,0.233,0.375
data_science,hybrid_or_flexible,39,157,0.248,0.187,0.321
data_science,on_site,8,157,0.051,0.026,0.097
data_science,remote,3,157,0.019,0.007,0.055
marketing_analytics,hybrid,10,24,0.417,0.245,0.612
marketing_analytics,hybrid_or_flexible,9,24,0.375,0.212,0.573
marketing_analytics,unknown,3,24,0.125,0.043,0.31
marketing_analytics,remote,2,24,0.083,0.023,0.258
product_analytics,hybrid,1,1,1.0,0.207,1.0
