source,remote_type,count,n,share,ci_low,ci_high
eures,unknown,110,202,0.545,0.476,0.612
eures,hybrid,43,202,0.213,0.162,0.274
eures,hybrid_or_flexible,35,202,0.173,0.127,0.231
eures,on_site,11,202,0.054,0.031,0.095
eures,remote,3,202,0.015,0.005,0.043
jobsat,hybrid,19,58,0.328,0.221,0.456
jobsat,unknown,18,58,0.31,0.206,0.438
jobsat,hybrid_or_flexible,17,58,0.293,0.192,0.42
jobsat,on_site,4,58,0.069,0.027,0.164
karriere,hybrid,53,134,0.396,0.317,0.48
karriere,hybrid_or_flexible,49,134,0.366,0.289,0.45
karriere,unknown,18,134,0.134,0.087,0.202
karriere,on_site,14,134,0.104,0.063,0.168
linkedin,unknown,124,299,0.415,0.36,0.471
linkedin,hybrid_or_flexible,78,299,0.261,0.214,0.313
linkedin,hybrid,76,299,0.254,0.208,0.306
linkedin,remote,11,299,0.037,0.021,0.065
linkedin,on_site,10,299,0.033,0.018,0.06
willhaben,unknown,15,26,0.577,0.389,0.745
willhaben,hybrid,6,26,0.231,0.11,0.421
willhaben,hybrid_or_flexible,5,26,0.192,0.085,0.379
