role_family,degree_requirement,count,n,share,ci_low,ci_high
bi,none,29,85,0.341,0.249,0.447
bi,required,28,85,0.329,0.239,0.435
bi,mentioned,26,85,0.306,0.218,0.41
bi,preferred,2,85,0.024,0.006,0.082
business_analysis,none,43,120,0.358,0.278,0.447
business_analysis,required,39,120,0.325,0.248,0.413
business_analysis,mentioned,37,120,0.308,0.233,0.396
business_analysis,preferred,1,120,0.008,0.001,0.046
data_analytics,required,41,107,0.383,0.297,0.478
data_analytics,none,35,107,0.327,0.246,0.421
data_analytics,mentioned,29,107,0.271,0.196,0.362
data_analytics,preferred,2,107,0.019,0.005,0.066
data_engineering,none,63,160,0.394,0.321,0.471
data_engineering,mentioned,56,160,0.35,0.28,0.427
data_engineering,required,40,160,0.25,0.189,0.322
data_engineering,preferred,1,160,0.006,0.001,0.035
data_governance,required,21,65,0.323,0.222,0.444
data_governance,mentioned,21,65,0.323,0.222,0.444
data_governance,none,17,65,0.262,0.17,0.38
data_governance,preferred,6,65,0.092,0.043,0.187
data_science,required,54,157,0.344,0.274,0.421
data_science,none,50,157,0.318,0.251,0.395
data_science,mentioned,47,157,0.299,0.233,0.375
data_science,preferred,6,157,0.038,0.018,0.081
marketing_analytics,none,16,24,0.667,0.467,0.82
marketing_analytics,required,5,24,0.208,0.092,0.405
marketing_analytics,mentioned,3,24,0.125,0.043,0.31
product_analytics,required,1,1,1.0,0.207,1.0
