role_family,employment_type,count,n,share,ci_low,ci_high
bi,full_time,71,85,0.835,0.742,0.899
bi,full_or_part_time,10,85,0.118,0.065,0.203
bi,unknown,2,85,0.024,0.006,0.082
bi,part_time,2,85,0.024,0.006,0.082
business_analysis,full_time,96,120,0.8,0.72,0.862
business_analysis,full_or_part_time,12,120,0.1,0.058,0.167
business_analysis,unknown,12,120,0.1,0.058,0.167
data_analytics,full_time,82,107,0.766,0.678,0.836
data_analytics,full_or_part_time,16,107,0.15,0.094,0.229
data_analytics,part_time,5,107,0.047,0.02,0.105
data_analytics,unknown,4,107,0.037,0.015,0.092
data_engineering,full_time,153,160,0.956,0.912,0.979
data_engineering,unknown,5,160,0.031,0.013,0.071
data_engineering,full_or_part_time,2,160,0.013,0.003,0.044
data_governance,full_time,55,65,0.846,0.739,0.914
data_governance,full_or_part_time,10,65,0.154,0.086,0.261
data_science,full_time,140,158,0.886,0.827,0.927
data_science,full_or_part_time,11,158,0.07,0.039,0.12
data_science,unknown,7,158,0.044,0.022,0.089
marketing_analytics,full_time,17,24,0.708,0.508,0.851
marketing_analytics,full_or_part_time,5,24,0.208,0.092,0.405
marketing_analytics,unknown,2,24,0.083,0.023,0.258
product_analytics,full_time,1,1,1.0,0.207,1.0
