posted_week,count
2023-08-14/2023-08-20,1
2024-03-04/2024-03-10,1
2024-09-30/2024-10-06,1
2025-03-10/2025-03-16,1
2025-05-05/2025-05-11,1
2025-12-01/2025-12-07,1
2025-12-08/2025-12-14,1
2025-12-15/2025-12-21,1
2025-12-22/2025-12-28,1
2026-01-19/2026-01-25,2
2026-01-26/2026-02-01,4
2026-02-02/2026-02-08,5
2026-02-09/2026-02-15,3
2026-02-16/2026-02-22,2
2026-02-23/2026-03-01,1
2026-03-02/2026-03-08,1
2026-03-16/2026-03-22,2
2026-03-23/2026-03-29,3
2026-03-30/2026-04-05,3
2026-04-06/2026-04-12,2
2026-04-13/2026-04-19,3
2026-04-20/2026-04-26,3
2026-04-27/2026-05-03,1
2026-05-11/2026-05-17,3
2026-05-18/2026-05-24,6
2026-05-25/2026-05-31,1
2026-06-01/2026-06-07,3
2026-06-08/2026-06-14,5
2026-06-15/2026-06-21,12
2026-06-22/2026-06-28,9
2026-06-29/2026-07-05,15
2026-07-06/2026-07-12,15
2026-07-13/2026-07-19,17
2026-07-20/2026-07-26,24
2026-07-27/2026-08-02,24
2026-08-03/2026-08-09,25
2026-08-10/2026-08-16,25
2026-08-17/2026-08-23,30
2026-08-24/2026-08-30,66
2026-08-31/2026-09-06,89
2026-09-07/2026-09-13,183
2026-09-14/2026-09-20,124
