source,posted_date,count
eures,2024-03,1
eures,2025-12,2
eures,2026-01,2
eures,2026-02,2
eures,2026-03,4
eures,2026-04,7
eures,2026-05,7
eures,2026-06,19
eures,2026-07,51
eures,2026-08,62
eures,2026-09,45
jobsat,2026-01,1
jobsat,2026-06,5
jobsat,2026-07,7
jobsat,2026-08,20
jobsat,2026-09,25
karriere,2026-09,134
linkedin,2024-10,1
linkedin,2025-03,1
linkedin,2025-12,1
linkedin,2026-01,3
linkedin,2026-02,9
linkedin,2026-03,3
linkedin,2026-04,4
linkedin,2026-05,2
linkedin,2026-06,7
linkedin,2026-07,31
linkedin,2026-08,78
linkedin,2026-09,160
willhaben,2023-08,1
willhaben,2025-05,1
willhaben,2025-12,1
willhaben,2026-05,1
willhaben,2026-06,3
willhaben,2026-07,1
willhaben,2026-08,6
willhaben,2026-09,12
